Rank,University,Lowest Place,#
1,Universität Stuttgart,1st,10
2,Hochschule Esslingen,1st,7
3,Technische Universität Berlin,1st,3
4,Fachhochschule Coburg,1st,2
5,Hochschule für Angewandte Wissenschaften Hamburg,1st,2
6,Hochschule Karlsruhe - Technik und Wirtschaft,1st,2
7,Karlsruhe Institute of Technology,1st,2
8,Ostbayerische Technische Hochschule Regensburg,1st,2
9,Technical University of Munich,1st,2
10,Technische Universität Darmstadt,1st,2
11,Friedrich-Alexander-Universität Erlangen-Nürnberg,1st,1
12,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),1st,1
13,Technische Universität Braunschweig,1st,1
14,Westsächsische Hochschule Zwickau,1st,1
15,Fachhochschule Aachen,2nd,2
16,Duale Hochschule Baden-Württemberg Ravensburg,2nd,1
17,Fachhochschule Stralsund,2nd,1
18,Hochschule Darmstadt UAS,2nd,1
19,Fachhochschule Konstanz,3rd,2
20,Fachhochschule München,3rd,1
21,Technische Hochschule Mittelhessen,3rd,1
22,University of Applied Sciences Ravensburg-Weingarten,3rd,1
23,Universität Paderborn,3rd,1
24,Technische Universität Bergakademie Freiberg,4th,1
25,UAS Würzburg-Schweinfurt,4th,1
26,Universität Kassel,4th,1
27,Fachhochschule Kiel,5th,1
28,Hochschule Pforzheim,5th,1
29,Ulm University of Applied Sciences,5th,1
30,Helmut Schmidt Universität  Universität der Bundeswehr Hamburg,6th,1
31,Technische Hochschule Ostwestfalen-Lippe,6th,1
32,UAS Kempten,7th,4
33,Fachhochschule Hannover,7th,2
34,Ostfalia University of Applied Sciences,7th,1
35,Universität Bayreuth,7th,1
36,Hochschule RheinMain,8th,2
37,Hochschule Heilbronn,8th,1
38,Hochschule Niederrhein,8th,1
39,Rheinisch-Westfälische Technische Hochschule Aachen,9th,2
40,Fachhochschule Dortmund,9th,1
41,Hochschule Mannheim,9th,1
42,Fachhochschule für Wirtschaft und Technik,10th,1
43,Ruhr-Universität Bochum,10th,1
44,Universität der Bundeswehr München,11th,1
45,Technische Hochschule Lübeck,12th,2
46,Hochschule für Technik und Wirtschaft Berlin,12th,1
47,Hochschule für Technik und Wirtschaft Mittweida,12th,1
48,Otto-von-Guericke-Universität Magdeburg,13th,1
49,Saarland University,13th,1
50,Bergische Universität Wuppertal,14th,1
51,Technische Hochschule Köln,15th,1
52,Hochschule Bonn-Rhein-Sieg,16th,1
53,Universität Siegen,16th,1
54,Technische Universität Kaiserslautern,18th,1
55,Brandenburgische Technische Universität Cottbus,19th,1
56,Technische Universität Dortmund,20th,1
57,Technische Universität Dresden,20th,1
58,Technische Universität Ilmenau,20th,1
59,Deggendorf Institute of Technology,23rd,1
60,Hochschule Offenburg,23rd,1
61,Leibniz Universität Hannover,32nd,1
62,Duale Hochschule Baden-Württemberg Stuttgart,33rd,1
63,Fachhochschule Frankfurt am Main,33rd,1
64,Fachhochschule Osnabrück,43rd,1
65,Berlin School of Economics,N/A,0
66,Koblenz University of Applied Science,N/A,0
