Rank,University,Lowest Place,#
1,Universität Stuttgart,1st,20
2,Hochschule Esslingen,1st,8
3,Technical University of Munich,1st,7
4,Fachhochschule Coburg,1st,4
5,Hochschule für Angewandte Wissenschaften Hamburg,1st,4
6,Karlsruhe Institute of Technology,1st,2
7,Technische Universität Darmstadt,1st,2
8,Hochschule Darmstadt UAS,1st,1
9,Technische Universität Berlin,1st,1
10,Technische Universität Braunschweig,1st,1
11,Universität Kassel,1st,1
12,Fachhochschule Aachen,2nd,2
13,Friedrich-Alexander-Universität Erlangen-Nürnberg,2nd,2
14,University of Applied Sciences Ravensburg-Weingarten,2nd,2
15,Fachhochschule München,2nd,1
16,UAS Kempten,2nd,1
17,Hochschule Karlsruhe - Technik und Wirtschaft,3rd,2
18,Westsächsische Hochschule Zwickau,3rd,2
19,Fachhochschule Hannover,3rd,1
20,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),3rd,1
21,UAS Würzburg-Schweinfurt,3rd,1
22,Ostbayerische Technische Hochschule Regensburg,4th,1
23,Duale Hochschule Baden-Württemberg Ravensburg,5th,1
24,Fachhochschule Konstanz,5th,1
25,Fachhochschule Stralsund,5th,1
26,Technische Hochschule Mittelhessen,5th,1
27,Technische Universität Bergakademie Freiberg,5th,1
28,Universität Paderborn,6th,1
29,Hochschule Heilbronn,7th,1
30,Technische Hochschule Ostwestfalen-Lippe,7th,1
31,Fachhochschule Dortmund,8th,2
32,Hochschule RheinMain,8th,2
33,Rheinisch-Westfälische Technische Hochschule Aachen,8th,1
34,Hochschule Niederrhein,9th,1
35,Hochschule Pforzheim,9th,1
36,Ruhr-Universität Bochum,9th,1
37,Ulm University of Applied Sciences,9th,1
38,Universität Bayreuth,9th,1
39,Hochschule Mannheim,10th,1
40,Technische Hochschule Lübeck,10th,1
41,Technische Hochschule Köln,11th,1
42,Technische Universität Dresden,11th,1
43,Ostfalia University of Applied Sciences,12th,1
44,Fachhochschule Kiel,13th,1
45,Helmut Schmidt Universität  Universität der Bundeswehr Hamburg,13th,1
46,Technische Universität Dortmund,13th,1
47,Hochschule für Technik und Wirtschaft Berlin,14th,2
48,Duale Hochschule Baden-Württemberg Stuttgart,15th,1
49,Otto-von-Guericke-Universität Magdeburg,15th,1
50,Universität Siegen,16th,1
51,Hochschule für Technik und Wirtschaft Mittweida,18th,2
52,Fachhochschule für Wirtschaft und Technik,18th,1
53,Fachhochschule Osnabrück,18th,1
54,Technische Universität Kaiserslautern,20th,2
55,Universität der Bundeswehr München,21st,1
56,Deggendorf Institute of Technology,22nd,1
57,Saarland University,23rd,1
58,Bergische Universität Wuppertal,24th,1
59,Hochschule Offenburg,25th,1
60,Brandenburgische Technische Universität Cottbus,26th,1
61,Fachhochschule Frankfurt am Main,29th,1
62,Technische Universität Ilmenau,29th,1
63,Hochschule Bonn-Rhein-Sieg,49th,1
64,Leibniz Universität Hannover,59th,1
65,Berlin School of Economics,N/A,0
66,Koblenz University of Applied Science,N/A,0
