Rank,University,Points
1,Universität Stuttgart,9315.81
2,Karlsruhe Institute of Technology,5959.96
3,Technical University of Munich,5759.81
4,Hochschule Esslingen,5602.8
5,Fachhochschule Coburg,5155.48
6,Hochschule für Angewandte Wissenschaften Hamburg,5087.81
7,Friedrich-Alexander-Universität Erlangen-Nürnberg,4289.57
8,Fachhochschule München,3655.75
9,Hochschule Karlsruhe - Technik und Wirtschaft,3465.4
10,Technische Universität Berlin,3405.66
11,Universität Paderborn,3374.64
12,Fachhochschule Stralsund,3237.5
13,Ostbayerische Technische Hochschule Regensburg,3155.53
14,University of Applied Sciences Ravensburg-Weingarten,2973.38
15,Fachhochschule Konstanz,2832.07
16,Hochschule Darmstadt UAS,2680.65
17,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2501.12
18,UAS Kempten,2255.52
19,Universität Kassel,2099.07
20,Ulm University of Applied Sciences,1778.83
21,Fachhochschule Aachen,1708.01
22,UAS Würzburg-Schweinfurt,1638.51
23,Technische Universität Braunschweig,1620.88
24,Rheinisch-Westfälische Technische Hochschule Aachen,1600.0
25,Technische Universität Darmstadt,1596.4
26,Hochschule Niederrhein,1555.0
27,Technische Hochschule Mittelhessen,1458.37
28,Hochschule für Technik und Wirtschaft Berlin,1348.24
29,Ruhr-Universität Bochum,1319.41
30,Hochschule RheinMain,1296.5
31,Technische Hochschule Ostwestfalen-Lippe,1266.6
32,Fachhochschule Hannover,1252.72
33,Ostfalia University of Applied Sciences,1219.5
34,Westsächsische Hochschule Zwickau,1200.0
35,Hochschule Pforzheim,1164.34
36,Saarland University,1072.38
37,Hochschule Heilbronn,1030.54
38,Fachhochschule Kiel,1029.5
39,Technische Universität Bergakademie Freiberg,1024.25
40,Universität Bayreuth,1013.0
41,Fachhochschule Dortmund,1006.05
42,Technische Universität Dortmund,826.97
43,Otto-von-Guericke-Universität Magdeburg,826.18
44,Helmut Schmidt Universität  Universität der Bundeswehr Hamburg,734.37
45,Hochschule Mannheim,701.25
46,Bergische Universität Wuppertal,662.31
47,Hochschule für Technik und Wirtschaft Mittweida,662.12
48,Duale Hochschule Baden-Württemberg Ravensburg,642.0
49,Technische Universität Kaiserslautern,560.0
50,Technische Universität Dresden,525.0
51,Technische Hochschule Köln,444.0
52,Brandenburgische Technische Universität Cottbus,443.06
53,Technische Hochschule Lübeck,404.98
54,Universität der Bundeswehr München,369.47
55,Fachhochschule Osnabrück,295.0
56,Deggendorf Institute of Technology,250.0
57,Universität Siegen,240.0
58,Berlin School of Economics,204.0
59,Leibniz Universität Hannover,189.0
60,Fachhochschule für Wirtschaft und Technik,167.5
61,Hochschule Offenburg,164.0
62,Duale Hochschule Baden-Württemberg Stuttgart,160.0
63,Hochschule Bonn-Rhein-Sieg,155.0
64,Technische Universität Ilmenau,135.0
65,Fachhochschule Frankfurt am Main,109.0
66,Koblenz University of Applied Science,42.0
