Rank,University,Lowest Place,#
1,Fachhochschule Coburg,1st,8
2,Universität Stuttgart,1st,6
3,Fachhochschule Kiel,1st,4
4,University of Applied Sciences Ravensburg-Weingarten,1st,4
5,Karlsruhe Institute of Technology,1st,2
6,Ostbayerische Technische Hochschule Regensburg,1st,2
7,Technical University of Munich,1st,2
8,Fachhochschule München,1st,1
9,Friedrich-Alexander-Universität Erlangen-Nürnberg,1st,1
10,Technische Universität Darmstadt,1st,1
11,Universität Kassel,1st,1
12,Hochschule Esslingen,2nd,4
13,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2nd,1
14,Technische Universität Braunschweig,2nd,1
15,Technische Universität Dresden,2nd,1
16,UAS Kempten,2nd,1
17,Universität Paderborn,2nd,1
18,Fachhochschule Stralsund,3rd,2
19,Hochschule Karlsruhe - Technik und Wirtschaft,3rd,2
20,Technische Hochschule Mittelhessen,3rd,1
21,Helmut Schmidt Universität  Universität der Bundeswehr Hamburg,4th,1
22,Hochschule Darmstadt UAS,4th,1
23,Hochschule für Angewandte Wissenschaften Hamburg,4th,1
24,Duale Hochschule Baden-Württemberg Ravensburg,5th,2
25,Hochschule RheinMain,5th,2
26,Fachhochschule Aachen,5th,1
27,UAS Würzburg-Schweinfurt,5th,1
28,Fachhochschule Konstanz,6th,1
29,Hochschule für Technik und Wirtschaft Berlin,6th,1
30,Technische Universität Bergakademie Freiberg,6th,1
31,Westsächsische Hochschule Zwickau,6th,1
32,Technische Hochschule Ostwestfalen-Lippe,7th,1
33,Hochschule Heilbronn,8th,1
34,Ostfalia University of Applied Sciences,8th,1
35,Technische Hochschule Köln,8th,1
36,Fachhochschule Hannover,9th,1
37,Universität Bayreuth,9th,1
38,Rheinisch-Westfälische Technische Hochschule Aachen,10th,1
39,Hochschule Bonn-Rhein-Sieg,11th,1
40,Hochschule Mannheim,11th,1
41,Otto-von-Guericke-Universität Magdeburg,11th,1
42,Technische Hochschule Lübeck,11th,1
43,Ulm University of Applied Sciences,11th,1
44,Technische Universität Berlin,12th,1
45,Hochschule für Technik und Wirtschaft Mittweida,13th,1
46,Hochschule Pforzheim,13th,1
47,Hochschule Niederrhein,14th,1
48,Ruhr-Universität Bochum,14th,1
49,Technische Universität Kaiserslautern,15th,1
50,Fachhochschule für Wirtschaft und Technik,16th,1
51,Fachhochschule Osnabrück,17th,1
52,Hochschule Offenburg,17th,1
53,Saarland University,18th,2
54,Bergische Universität Wuppertal,18th,1
55,Universität Siegen,18th,1
56,Deggendorf Institute of Technology,19th,1
57,Technische Universität Dortmund,19th,1
58,Brandenburgische Technische Universität Cottbus,27th,1
59,Fachhochschule Dortmund,29th,1
60,Leibniz Universität Hannover,29th,1
61,Technische Universität Ilmenau,29th,1
62,Universität der Bundeswehr München,30th,1
63,Duale Hochschule Baden-Württemberg Stuttgart,35th,1
64,Berlin School of Economics,N/A,0
65,Fachhochschule Frankfurt am Main,N/A,0
66,Koblenz University of Applied Science,N/A,0
