Rank,University,Points
1,Universität Stuttgart,7797.55
2,Technical University of Munich,4747.78
3,Hochschule Esslingen,3950.17
4,Karlsruhe Institute of Technology,3790.8
5,Hochschule für Angewandte Wissenschaften Hamburg,3537.38
6,Fachhochschule Coburg,3528.34
7,Friedrich-Alexander-Universität Erlangen-Nürnberg,2499.65
8,Hochschule Karlsruhe - Technik und Wirtschaft,2410.69
9,Technische Universität Berlin,2239.39
10,University of Applied Sciences Ravensburg-Weingarten,1887.31
11,Fachhochschule Stralsund,1846.51
12,Fachhochschule München,1806.55
13,Ostbayerische Technische Hochschule Regensburg,1719.09
14,Universität Paderborn,1648.18
15,Hochschule Darmstadt UAS,1608.44
16,Universität Kassel,1555.88
17,Fachhochschule Konstanz,1503.22
18,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),1491.38
19,Technische Universität Braunschweig,1278.98
20,Technische Universität Darmstadt,1144.08
21,Technische Hochschule Mittelhessen,960.81
22,Westsächsische Hochschule Zwickau,919.63
23,Ulm University of Applied Sciences,871.54
24,Rheinisch-Westfälische Technische Hochschule Aachen,862.31
25,UAS Kempten,831.52
26,UAS Würzburg-Schweinfurt,811.74
27,Technische Universität Bergakademie Freiberg,733.99
28,Hochschule RheinMain,696.55
29,Fachhochschule Aachen,685.14
30,Fachhochschule Kiel,597.98
31,Ostfalia University of Applied Sciences,567.84
32,Technische Hochschule Ostwestfalen-Lippe,545.62
33,Duale Hochschule Baden-Württemberg Ravensburg,504.52
34,Hochschule für Technik und Wirtschaft Berlin,486.09
35,Fachhochschule Hannover,485.5
36,Hochschule Pforzheim,438.33
37,Hochschule Niederrhein,432.04
38,Fachhochschule Dortmund,417.87
39,Universität Bayreuth,340.27
40,Technische Hochschule Köln,322.08
41,Hochschule für Technik und Wirtschaft Mittweida,257.22
42,Fachhochschule Osnabrück,242.96
43,Hochschule Heilbronn,225.49
44,Ruhr-Universität Bochum,201.14
45,Duale Hochschule Baden-Württemberg Stuttgart,170.81
46,Technische Universität Kaiserslautern,170.36
47,Technische Universität Dresden,164.15
48,Otto-von-Guericke-Universität Magdeburg,159.9
49,Hochschule Mannheim,156.32
50,Saarland University,146.67
51,Universität Siegen,145.04
52,Helmut Schmidt Universität  Universität der Bundeswehr Hamburg,139.19
53,Bergische Universität Wuppertal,122.63
54,Deggendorf Institute of Technology,115.02
55,Technische Universität Dortmund,98.49
56,Fachhochschule für Wirtschaft und Technik,71.02
57,Technische Hochschule Lübeck,68.61
58,Universität der Bundeswehr München,60.02
59,Hochschule Bonn-Rhein-Sieg,26.98
60,Brandenburgische Technische Universität Cottbus,21.37
61,Hochschule Offenburg,15.0
62,Leibniz Universität Hannover,12.53
63,Fachhochschule Frankfurt am Main,7.5
64,Technische Universität Ilmenau,7.5
65,Berlin School of Economics,0.0
66,Koblenz University of Applied Science,0.0
