Rank,University,Points
1,Universität Stuttgart,5613.35
2,Fachhochschule Coburg,3725.17
3,Karlsruhe Institute of Technology,3638.86
4,Hochschule Esslingen,3439.67
5,Hochschule für Angewandte Wissenschaften Hamburg,3198.42
6,Technical University of Munich,3115.47
7,Friedrich-Alexander-Universität Erlangen-Nürnberg,2852.14
8,Fachhochschule Stralsund,2788.35
9,Hochschule Karlsruhe - Technik und Wirtschaft,2428.19
10,Technische Universität Berlin,2401.21
11,University of Applied Sciences Ravensburg-Weingarten,2398.04
12,Ostbayerische Technische Hochschule Regensburg,2326.11
13,Fachhochschule München,2314.09
14,Universität Paderborn,2236.63
15,Fachhochschule Konstanz,2038.95
16,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),1818.26
17,Hochschule Darmstadt UAS,1695.75
18,UAS Kempten,1690.62
19,Ulm University of Applied Sciences,1478.04
20,Universität Kassel,1388.53
21,Fachhochschule Aachen,1331.85
22,UAS Würzburg-Schweinfurt,1298.3
23,Hochschule Niederrhein,1208.26
24,Rheinisch-Westfälische Technische Hochschule Aachen,1196.97
25,Technische Universität Darmstadt,1189.13
26,Technische Universität Braunschweig,1117.15
27,Hochschule für Technik und Wirtschaft Berlin,1039.84
28,Hochschule RheinMain,998.34
29,Technische Hochschule Ostwestfalen-Lippe,950.35
30,Hochschule Heilbronn,899.45
31,Ostfalia University of Applied Sciences,886.99
32,Technische Hochschule Mittelhessen,862.87
33,Saarland University,839.67
34,Ruhr-Universität Bochum,834.61
35,Westsächsische Hochschule Zwickau,801.97
36,Fachhochschule Kiel,801.85
37,Otto-von-Guericke-Universität Magdeburg,776.15
38,Technische Universität Dortmund,775.73
39,Fachhochschule Dortmund,774.44
40,Technische Hochschule Lübeck,767.76
41,Hochschule Pforzheim,754.74
42,Helmut Schmidt Universität  Universität der Bundeswehr Hamburg,754.02
43,Fachhochschule Hannover,711.37
44,Universität Bayreuth,686.4
45,Technische Universität Bergakademie Freiberg,679.95
46,Hochschule für Technik und Wirtschaft Mittweida,677.86
47,Duale Hochschule Baden-Württemberg Ravensburg,537.33
48,Technische Universität Kaiserslautern,423.12
49,Hochschule Mannheim,351.15
50,Hochschule Offenburg,328.22
51,Fachhochschule Osnabrück,310.16
52,Technische Hochschule Köln,299.1
53,Deggendorf Institute of Technology,295.78
54,Bergische Universität Wuppertal,291.0
55,Technische Universität Dresden,232.94
56,Duale Hochschule Baden-Württemberg Stuttgart,207.71
57,Berlin School of Economics,206.13
58,Fachhochschule für Wirtschaft und Technik,197.48
59,Universität Siegen,196.31
60,Leibniz Universität Hannover,190.18
61,Brandenburgische Technische Universität Cottbus,164.01
62,Universität der Bundeswehr München,148.21
63,Technische Universität Ilmenau,99.36
64,Koblenz University of Applied Science,65.0
65,Hochschule Bonn-Rhein-Sieg,52.11
66,Fachhochschule Frankfurt am Main,19.6
