Rank,University,Points
1,ETH Zürich,721.06
2,Bern University of Applied Sciences,273.0
3,École Polytechnique Fédérale de Lausanne,233.69
4,Zürcher Hochschule für Angewandte Wissenschaften,161.6
5,HES-SO Valais-Wallis,139.71
