Rank,University,Lowest Place,#
1,ETH Zürich,1st,6
2,Bern University of Applied Sciences,3rd,1
3,École Polytechnique Fédérale de Lausanne,9th,1
4,Zürcher Hochschule für Angewandte Wissenschaften,N/A,0
