Rank,University,Lowest Place,#
1,Missouri University of Science and Technology,1st,1
2,Purdue University - West Lafayette,1st,1
3,University of Texas at Austin,1st,1
4,Georgia Institute of Technology,2nd,1
5,San José State University,2nd,1
6,The University of Akron,2nd,1
7,University of Michigan - Ann Arbor,2nd,1
8,University of Washington,2nd,1
9,Carnegie Mellon University,3rd,2
10,University of California Davis,3rd,1
11,University of Wisconsin-Madison,3rd,1
12,University of Pennsylvania,4th,1
13,Massachusetts Institute of Technology,6th,1
14,University of Illinois at Urbana-Champaign,9th,1
15,California Baptist University,N/A,0
16,California Institute of Technology,N/A,0
17,California State Polytechnic University - San Luis Obispo,N/A,0
18,Cornell University,N/A,0
19,Drexel University,N/A,0
20,Kennesaw State University,N/A,0
21,North Carolina State University,N/A,0
22,Olin College of Engineering,N/A,0
23,Portland State University,N/A,0
24,Rutgers The State University of New Jersey,N/A,0
25,San Diego State University,N/A,0
26,Texas A&M University,N/A,0
27,The University of Michigan-Dearborn,N/A,0
28,University of California - Santa Cruz,N/A,0
29,University of California Berkeley,N/A,0
30,University of California Irvine,N/A,0
31,University of California Riverside,N/A,0
32,University of Cincinnati,N/A,0
33,University of Colorado - Colorado Springs,N/A,0
34,University of Iowa,N/A,0
35,University of Kansas,N/A,0
36,University of Maryland,N/A,0
37,University of Minnesota Twin Cities,N/A,0
38,University of New Mexico,N/A,0
39,University of North Carolina at Asheville,N/A,0
40,University of Southern California,N/A,0
41,University of Texas at San Antonio,N/A,0
42,University of Utah,N/A,0
43,Virginia Polytechnic Institute and State University,N/A,0
44,Western Washington University,N/A,0
