Rank,University,Lowest Place,#
1,University of Pennsylvania,1st,2
2,Carnegie Mellon University,2nd,2
3,California Institute of Technology,2nd,1
4,Missouri University of Science and Technology,2nd,1
5,University of Washington,3rd,2
6,Olin College of Engineering,3rd,1
7,University of Wisconsin-Madison,3rd,1
8,California State Polytechnic University - San Luis Obispo,4th,1
9,Massachusetts Institute of Technology,4th,1
10,University of Michigan - Ann Arbor,5th,1
11,Georgia Institute of Technology,6th,1
12,Purdue University - West Lafayette,7th,1
13,University of California Riverside,7th,1
14,University of Kansas,7th,1
15,University of New Mexico,7th,1
16,University of Iowa,8th,1
17,University of Texas at Austin,9th,1
18,Rutgers The State University of New Jersey,10th,1
19,University of California Davis,10th,1
20,Virginia Polytechnic Institute and State University,10th,1
21,University of Colorado - Colorado Springs,11th,1
22,University of North Carolina at Asheville,11th,1
23,The University of Akron,12th,1
24,San José State University,13th,1
25,The University of Michigan-Dearborn,13th,1
26,University of California Irvine,13th,1
27,University of Utah,13th,1
28,Cornell University,14th,1
29,University of Illinois at Urbana-Champaign,17th,2
30,California Baptist University,18th,1
31,San Diego State University,20th,1
32,Western Washington University,22nd,1
33,Drexel University,23rd,1
34,Kennesaw State University,24th,1
35,North Carolina State University,26th,1
36,University of Maryland,27th,1
37,Texas A&M University,32nd,1
38,University of Southern California,35th,1
39,University of Cincinnati,36th,1
40,Portland State University,37th,1
41,University of California Berkeley,38th,1
42,University of Minnesota Twin Cities,40th,1
43,University of California - Santa Cruz,N/A,0
44,University of Texas at San Antonio,N/A,0
