Rank,University,Lowest Place,#
1,University of Washington,1st,2
2,Carnegie Mellon University,1st,1
3,University of Pennsylvania,1st,1
4,Massachusetts Institute of Technology,2nd,1
5,University of California Davis,2nd,1
6,University of Michigan - Ann Arbor,2nd,1
7,University of Texas at Austin,3rd,1
8,Georgia Institute of Technology,4th,1
9,San José State University,4th,1
10,The University of Akron,4th,1
11,University of Illinois at Urbana-Champaign,4th,1
12,University of Minnesota Twin Cities,4th,1
13,Missouri University of Science and Technology,5th,1
14,University of Wisconsin-Madison,5th,1
15,Virginia Polytechnic Institute and State University,6th,1
16,Purdue University - West Lafayette,7th,1
17,Kennesaw State University,8th,1
18,Olin College of Engineering,8th,1
19,Cornell University,12th,1
20,California State Polytechnic University - San Luis Obispo,16th,1
21,California Baptist University,N/A,0
22,California Institute of Technology,N/A,0
23,Drexel University,N/A,0
24,North Carolina State University,N/A,0
25,Portland State University,N/A,0
26,Rutgers The State University of New Jersey,N/A,0
27,San Diego State University,N/A,0
28,Texas A&M University,N/A,0
29,The University of Michigan-Dearborn,N/A,0
30,University of California - Santa Cruz,N/A,0
31,University of California Berkeley,N/A,0
32,University of California Irvine,N/A,0
33,University of California Riverside,N/A,0
34,University of Cincinnati,N/A,0
35,University of Colorado - Colorado Springs,N/A,0
36,University of Iowa,N/A,0
37,University of Kansas,N/A,0
38,University of Maryland,N/A,0
39,University of New Mexico,N/A,0
40,University of North Carolina at Asheville,N/A,0
41,University of Southern California,N/A,0
42,University of Texas at San Antonio,N/A,0
43,University of Utah,N/A,0
44,Western Washington University,N/A,0
