Rank,University,Lowest Place,#
1,University of Wisconsin-Madison,1st,2
2,Carnegie Mellon University,1st,1
3,University of Washington,2nd,1
4,University of Michigan - Ann Arbor,3rd,2
5,University of Pennsylvania,3rd,1
6,Massachusetts Institute of Technology,4th,2
7,California State Polytechnic University - San Luis Obispo,4th,1
8,Georgia Institute of Technology,4th,1
9,University of Texas at Austin,4th,1
10,University of Illinois at Urbana-Champaign,5th,1
11,Olin College of Engineering,6th,1
12,San José State University,6th,1
13,University of Kansas,6th,1
14,Virginia Polytechnic Institute and State University,6th,1
15,The University of Akron,7th,2
16,Purdue University - West Lafayette,8th,1
17,University of California Davis,8th,1
18,University of Iowa,8th,1
19,Cornell University,10th,1
20,Missouri University of Science and Technology,11th,2
21,The University of Michigan-Dearborn,11th,1
22,Western Washington University,12th,1
23,University of California Irvine,13th,1
24,Texas A&M University,15th,1
25,University of Minnesota Twin Cities,15th,1
26,San Diego State University,16th,2
27,California Baptist University,16th,1
28,Kennesaw State University,16th,1
29,University of North Carolina at Asheville,16th,1
30,California Institute of Technology,19th,1
31,University of California Berkeley,19th,1
32,University of New Mexico,19th,1
33,University of Texas at San Antonio,19th,1
34,University of Utah,21st,2
35,University of California Riverside,23rd,1
36,North Carolina State University,24th,1
37,Portland State University,24th,1
38,University of California - Santa Cruz,25th,1
39,Rutgers The State University of New Jersey,35th,1
40,University of Colorado - Colorado Springs,37th,1
41,Drexel University,38th,1
42,University of Maryland,40th,1
43,University of Cincinnati,42nd,1
44,University of Southern California,48th,1
