Rank,University,Lowest Place,#
1,Chalmers University of Technology,2nd,1
2,KTH Royal Institute of Technology,2nd,1
3,Lund University,4th,1
4,Karlstad University,9th,1
5,Linköping University,14th,1
6,Luleå University of Technology,15th,1
