Rank,University,Lowest Place,#
1,ETH Zürich,1st,14
2,Technical University of Munich,1st,11
3,Universität Stuttgart,1st,7
4,Fachhochschule Joanneum Graz,1st,6
5,Westsächsische Hochschule Zwickau,1st,6
6,Technische Universität Graz,1st,5
7,Karlsruhe Institute of Technology,1st,4
8,Tallinn TU UAS,1st,4
9,TU Delft,1st,4
10,Duale Hochschule Baden-Württemberg Stuttgart,1st,3
11,Carnegie Mellon University,1st,2
12,Georgia Institute of Technology,1st,2
13,Monash University,1st,2
14,Politecnico di Torino,1st,2
15,Technische Universität Darmstadt,1st,2
16,Technische Universität Dresden,1st,2
17,Budapest University of Technology and Economics,1st,1
18,Chalmers University of Technology,1st,1
19,Coventry University,1st,1
20,Czech Technical University in Prague,1st,1
21,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,1st,1
22,Fachhochschule Kiel,1st,1
23,Fachhochschule München,1st,1
24,Harbin Institute of Technology at Weihai,1st,1
25,Hochschule Bonn-Rhein-Sieg,1st,1
26,K. J. Somaiya College of Engineering,1st,1
27,National Technical University of Athens,1st,1
28,Norwegian University of Science and Technology,1st,1
29,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),1st,1
30,Oxford Brookes University,1st,1
31,Pimpri Chinchwad College Of Engineering,1st,1
32,Purdue University - West Lafayette,1st,1
33,Rheinisch-Westfälische Technische Hochschule Aachen,1st,1
34,Technische Universiteit Eindhoven,1st,1
35,Technische Universität Bergakademie Freiberg,1st,1
36,Universidade Estadual de Campinas,1st,1
37,University of Auckland,1st,1
38,University of Canterbury,1st,1
39,University of Michigan - Ann Arbor,1st,1
40,University of Wollongong,1st,1
41,GFR DHBW Ravensburg & Oregon State University,2nd,2
42,Universidade de Lisboa - Instituto Superior Técnico,2nd,2
43,University of Ljubljana,2nd,2
44,Bern University of Applied Sciences,2nd,1
45,Brno University of Technology,2nd,1
46,Cornell University,2nd,1
47,Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),2nd,1
48,Georg-Simon-Ohm-Hochschule Nürnberg,2nd,1
49,Massachusetts Institute of Technology,2nd,1
50,McGill University,2nd,1
51,Ostfalia University of Applied Sciences,2nd,1
52,Technische Universität Hamburg,2nd,1
53,Technische Universität Wien,2nd,1
54,The University of Newcastle,2nd,1
55,University of New South Wales,2nd,1
56,University of Pennsylvania,2nd,1
57,Universität Paderborn,2nd,1
58,Warsaw University of Technology,2nd,1
59,École de Technologie Superieure,2nd,1
60,Leopold-Franzens-Universität Innsbruck,3rd,2
61,Politecnico di Milano,3rd,2
62,Aristotle University of Thessaloniki,3rd,1
63,Helsinki Metropolia University of Applied Sciences,3rd,1
64,Hochschule Aalen - Technik und Wirtschaft,3rd,1
65,Hochschule Esslingen,3rd,1
66,National Tsing Hua University,3rd,1
67,Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau,3rd,1
68,Technische Hochschule Augsburg,3rd,1
69,Technische Universität Berlin,3rd,1
70,The University of Akron,3rd,1
71,University of Adelaide,3rd,1
72,University of Melbourne,3rd,1
73,University of the Basque Country,3rd,1
74,University of Washington,3rd,1
75,University of Western Australia,3rd,1
76,Universität Bayreuth,3rd,1
77,Universität Siegen,3rd,1
78,École Polytechnique Fédérale de Lausanne,3rd,1
79,Deggendorf Institute of Technology,4th,2
80,Nagoya University,4th,2
81,RMIT University,4th,2
82,Hochschule Pforzheim,4th,1
83,Liaoning University of Technology,4th,1
84,Missouri University of Science and Technology,4th,1
85,TECNUN - University of Navarra,4th,1
86,University of Queensland,4th,1
87,University of Strathclyde,4th,1
88,University of Wisconsin-Madison,4th,1
89,Università degli studi di Padova,4th,1
90,Université Laval,4th,1
91,École Polytechnique de Montréal,4th,1
92,Alma Mater Studiorum - Università di Bologna,5th,1
93,California State Polytechnic University - San Luis Obispo,5th,1
94,Duale Hochschule Baden-Württemberg - Mannheim,5th,1
95,Guangdong University of Technology,5th,1
96,Hochschule RheinMain,5th,1
97,KU Leuven - Group T Campus,5th,1
98,Leibniz Universität Hannover,5th,1
99,Technische Hochschule Ingolstadt,5th,1
100,Technische Universität Ilmenau,5th,1
101,UAS Würzburg-Schweinfurt,5th,1
102,University of California Davis,5th,1
103,Rochester Institute of Technology,6th,2
104,University of Seville,6th,2
105,Curtin University,6th,1
106,HES-SO Valais-Wallis,6th,1
107,Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,6th,1
108,Hochschule Karlsruhe,6th,1
109,Hochschule Ruhr West - UAS,6th,1
110,Jilin University,6th,1
111,Ostbayerische Technische Hochschule Regensburg,6th,1
112,Slovak University of Technology in Bratislava,6th,1
113,Technische Universität Clausthal,6th,1
114,Toyohashi University of Technology,6th,1
115,University of Bath,6th,1
116,University of Patras,6th,1
117,Università degli Studi di Parma,6th,1
118,Universität Kassel,6th,1
119,Technische Hochschule Köln,7th,3
120,Fachhochschule Konstanz,7th,1
121,Fachhochschule Osnabrück,7th,1
122,Hochschule für Angewandte Wissenschaften Hof,7th,1
123,Kennesaw State University,7th,1
124,Swinburne University of Technology,7th,1
125,Technische Universität Braunschweig,7th,1
126,University of Manitoba,7th,1
127,University of Tasmania,7th,1
128,University of Texas at Austin,7th,1
129,University of Toronto,7th,1
130,University of Zagreb,7th,1
131,Università degli Studi di Roma La Sapienza,7th,1
132,Wroclaw University of Technology,7th,1
133,Yıldız Technical University,7th,1
134,University of Technology Sydney,8th,2
135,Escola d'Enginyeria de Barcelona Est. EEBE,8th,1
136,National Taipei University of Technology,8th,1
137,Ulm University of Applied Sciences,8th,1
138,University of Agder,8th,1
139,University Of Hertfordshire,8th,1
140,University of Iceland,8th,1
141,University of Southern Denmark,8th,1
142,University of Texas at Arlington,8th,1
143,Ecole Nationale d'Ingénieurs de Metz,9th,1
144,Fachhochschule für Wirtschaft und Technik,9th,1
145,Hochschule Mannheim,9th,1
146,KTH Royal Institute of Technology,9th,1
147,University of Applied Sciences Ravensburg-Weingarten,9th,1
148,Universität Duisburg-Essen,9th,1
149,Queensland University of Technology,10th,1
150,UAS Kempten,10th,1
151,Hochschule Landshut,11th,2
152,Hochschule Darmstadt UAS,11th,1
153,Lund University,11th,1
154,National University of Singapore,11th,1
155,Saarland University,11th,1
156,University of Warwick,11th,1
157,Gadjah Mada University,12th,1
158,Iwate University,12th,1
159,Queen's University Belfast,12th,1
160,San José State University,12th,1
161,Università degli Studi di Trento,12th,1
162,Hochschule für Angewandte Wissenschaften Hamburg,13th,1
163,Hubei University of Automotive Technology,13th,1
164,University of South Australia,13th,1
165,University of Missouri,14th,1
166,Friedrich-Alexander-Universität Erlangen-Nürnberg,15th,1
167,Thomas More Mechelen - De Nayer,15th,1
168,University of Illinois at Urbana-Champaign,15th,1
169,Beijing Institute of Technology,16th,1
170,Ben-Gurion University of the Negev,16th,1
171,Indian Institute of Technology Bombay,16th,1
172,Ruhr-Universität Bochum,16th,1
173,Zürcher Hochschule für Angewandte Wissenschaften,16th,1
174,Virginia Polytechnic Institute and State University,17th,2
175,Democritus University of Thrace,17th,1
176,Columbia University,18th,1
177,University of Minnesota Twin Cities,18th,1
178,University of Surrey,18th,1
179,Western University,19th,1
180,Auburn University,20th,1
181,Università di Pisa,20th,1
182,Pennsylvania State University,23rd,1
183,Shizuoka University,23rd,1
184,Tongji University,23rd,1
185,Universität Bremen,23rd,1
186,Concordia University,24th,1
187,Hochschule Düsseldorf,24th,1
188,Shizuoka Institute of Science and Technology,24th,1
189,Tohoku University,25th,1
190,University of British Columbia - Vancouver,25th,1
191,The University of Tokyo,28th,1
192,Toyota Technical College Nagoya,28th,1
193,Technische Universität Dortmund,30th,1
194,Nissan Automobile Technical College Kyoto,32nd,1
195,Texas A&M University,32nd,1
196,Daido Institute of Technology,37th,1
197,Otto-von-Guericke-Universität Magdeburg,39th,1
198,University of Porto,39th,1
199,Technische Universität Chemnitz,45th,1
200,Kanagawa University,51st,1
201,AGH University of Science and Technology,N/A,0
202,Ain Shams University,N/A,0
203,Belgorod state technological university named after V. G. Shukhov,N/A,0
204,Brunel University London,N/A,0
205,Cairo University,N/A,0
206,California Baptist University,N/A,0
207,California Institute of Technology,N/A,0
208,Central South University - Changsha,N/A,0
209,Centro Universitário da FEI,N/A,0
210,Cooper Union,N/A,0
211,Dalhousie University,N/A,0
212,Delhi Technological University,N/A,0
213,Drexel University,N/A,0
214,Duale Hochschule Baden-Württemberg Mosbach,N/A,0
215,Dwarkadas. J. Sanghvi College of Engineering,N/A,0
216,ECAM LaSalle - Campus de Lyon,N/A,0
217,ESTACA - Paris-Saclay (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile),N/A,0
218,ESTACA - West (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile),N/A,0
219,Fachhochschule Stralsund,N/A,0
220,Ghent University,N/A,0
221,Griffith University,N/A,0
222,Guangxi Science and Technology University Lushan College,N/A,0
223,Hanze University of Applied Sciences Groningen,N/A,0
224,Hefei University of Technology,N/A,0
225,Heriot-Watt University,N/A,0
226,Hochschule für Technik und Wirtschaft Mittweida,N/A,0
227,Hochschule Niederrhein,N/A,0
228,Imperial College London,N/A,0
229,Indian Institute of Technology Delhi,N/A,0
230,Indian Institute of Technology Roorkee,N/A,0
231,Instituto Superior de Engenharia de Lisboa,N/A,0
232,Islamic Azad University of Karaj,N/A,0
233,Istanbul Technical University,N/A,0
234,Kanagawa Institute of Technology,N/A,0
235,Karlstad University,N/A,0
236,King Mongkut's University of Technology Thonburi,N/A,0
237,Kingston University,N/A,0
238,Kookmin University,N/A,0
239,Kyushu Institute of Technology,N/A,0
240,Lancaster  University,N/A,0
241,Linköping University,N/A,0
242,Liverpool John Moores University,N/A,0
243,Loughborough University,N/A,0
244,Louisiana State University,N/A,0
245,Manchester Metropolitan University,N/A,0
246,McMaster University,N/A,0
247,MCT's Rajiv Gandhi Institute of Technology,N/A,0
248,MIT World Peace University,N/A,0
249,Moscow State Automobile & Road Technical University - MADI,N/A,0
250,Nanyang Technological University,N/A,0
251,National Cheng Kung University,N/A,0
252,National Taiwan University,N/A,0
253,National University of Sciences and Technology - Karachi,N/A,0
254,Newcastle University,N/A,0
255,Niigata Institute of Technology,N/A,0
256,North Carolina State University,N/A,0
257,Northwestern University,N/A,0
258,Olin College of Engineering,N/A,0
