Rank,University,Points
188,Massachusetts Institute of Technology,397.11
189,Brown University,396.44
190,Universidad Simón Bolívar,396.0
191,Czech University of Life Sciences Prague,395.8
192,Kennesaw State University,395.67
193,Iowa State University,394.72
194,National Technical University of Athens,394.22
195,Queensland University of Technology,393.8
196,University of Pittsburgh,393.44
197,Kanazawa Institute of Technology,392.5
198,Yıldız Technical University,392.47
199,Chungbuk National University,390.5
200,The University of Michigan-Dearborn,389.56
201,University of Connecticut,388.9
202,University of Yamanashi,386.23
203,Georgia Southern University,386.0
204,College of Science and Technology Nihon University,385.71
205,Smt. Kashibai Navale College of Engineering,385.67
206,University of Alabama,385.53
207,Oakland University,384.39
208,Technische Hochschule Ostwestfalen-Lippe,383.4
209,Kyushu Institute of Technology,382.53
210,Ferdowsi University of Mashad,382.0
211,University of Birmingham,380.82
212,Prince of Songkla University,380.0
213,Drexel University,379.7
214,Tokyo Denki University,379.64
215,Duale Hochschule Baden-Württemberg Stuttgart,379.0
216,Hubei University of Automotive Technology,378.4
217,UAS Kempten,378.21
218,University of Idaho,376.43
219,Osaka City University,376.4
220,Luleå University of Technology,376.2
221,Ritsumeikan University,376.07
222,Hochschule für Technik und Wirtschaft Mittweida,375.3
223,University of the Pacific,375.0
224,Karlstad University,372.5
225,Centro Federal de Educação Tecnológica de Minas Gerais,372.08
226,University of Strathclyde,371.86
227,Florida Atlantic University,371.08
228,California Baptist University,371.0
229,Minnesota State University Mankato,370.59
230,Technion - Israel Institute of Technology,369.33
231,Indiana University – Purdue University Indianapolis,368.75
232,University of Pennsylvania,367.0
233,California State University Sacramento,366.88
234,University of California San Diego,366.57
235,Keio University,365.92
236,Fachhochschule Osnabrück,365.8
237,University of Leeds,365.74
238,University of Brescia,365.0
239,Universidade Federal de Santa Maria,364.9
240,Jilin University,364.0
241,University of British Columbia - Vancouver,362.91
242,University of Ulsan,362.33
243,Saitama University,361.0
244,University of Aberdeen,360.75
245,Brunel University London,360.71
246,Osaka Sangyo University,360.69
247,National Tsing Hua University,360.0
248,Staffordshire University,360.0
249,University of Victoria,359.78
250,Michigan Technological University,359.0
251,Siam University,359.0
252,Universität Bayreuth,359.0
253,Louisiana State University,358.71
254,AGH University of Science and Technology,358.24
255,University of Malta,358.0
256,Indian Institute of Technology Madras,356.89
257,Ulm University of Applied Sciences,354.23
258,Rzeszów University of Technology,352.0
259,Tokyo University of Agriculture and Technology,351.71
260,Université du Québec à Trois-Rivières,351.52
261,University of North Carolina at Charlotte,351.12
262,University of Texas at Austin,350.62
263,Dwarkadas. J. Sanghvi College of Engineering,348.57
264,École Centrale de Lyon,347.33
265,Hochschule RheinMain,347.31
266,University of North Texas,347.12
267,University of Surrey,346.43
268,South Dakota School of Mines and Technology,344.09
269,Xiamen University of Technology,344.0
270,Duke University,343.5
271,The University of Newcastle,343.29
272,University of the West of England,341.6
273,Osaka Institute of Technology,340.0
274,Waseda University,339.45
275,Togliatti State University,338.0
276,Brigham Young University,337.67
277,University of Thessaly,337.54
278,Universidade Independente,336.0
279,Università degli Studi di Roma La Sapienza,335.57
280,Maejo University,335.0
281,University of Belgrade (Универзитет у Београду),334.82
282,Worcester Polytechnic Institute,334.81
283,University of Manitoba,334.4
284,University of Alberta,333.5
285,Kingston University,332.0
286,State University of New York at Buffalo,331.31
287,University of Messina,331.0
288,Thai-Nichi Institute of Technology,330.67
289,MIT World Peace University,330.33
290,Institute of Technologists,330.31
291,Lawrence Technological University,330.27
292,University of Maribor,330.23
293,Kogakuin University,329.85
294,University of Sheffield,329.67
295,Fachhochschule für Wirtschaft und Technik,329.0
296,Hanyang University,328.0
297,Dr. D. Y. Patil Institute Of Engineering and Technology,327.5
298,Milwaukee School of Engineering,326.44
299,University of Zagreb,324.88
300,Hunan University,324.5
301,Recinto Universitario de Mayagüez,324.33
302,Instituto Mauá de Tecnologia,323.27
303,Marche Polytechnic University,323.18
304,University of Southern California,322.35
305,Okayama University,322.27
306,University of Seville,321.95
307,North Carolina Agricultural and Technical State University,321.33
308,Rheinisch-Westfälische Technische Hochschule Aachen,321.15
309,Harbin Institute of Technology at Weihai,320.86
310,Hochschule Pforzheim,320.67
311,Hochschule für Technik und Wirtschaft Berlin,320.35
312,Universidade Federal do Rio de Janeiro,319.92
313,Swansea University,318.0
314,University of Glasgow,316.5
315,University of Burgundy - ISAT,315.35
316,Università degli Studi di Ferrara,314.33
317,Università degli Studi di Parma,314.3
318,Hokkaido University,314.17
319,California State University Chico,313.86
320,Queen's University,312.38
321,Lafayette College,311.0
322,Université de Sherbrooke,309.53
323,Sanyo-Onoda City University at Tokyo University of Science,307.75
324,West Virginia University,306.8
325,Colorado State University,306.65
326,Kumoh National Institute of Technology,305.4
327,Wayne State University,305.38
328,University of Calgary,304.33
329,Deggendorf Institute of Technology,303.75
330,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,303.0
331,PES University,303.0
332,Clarkson University,302.42
333,Pellissippi State Community College,302.0
334,University of Windsor,301.93
335,Kansas State University,301.29
336,University of Oulu,301.0
337,University of North Dakota,300.69
338,LeTourneau University,300.67
339,Universidade Paulista,300.0
340,Seikei University,299.73
341,Hochschule Niederrhein,299.0
342,Teikyo University,299.0
343,Toyota Technical College Nagoya,298.91
344,Coventry University,298.84
345,Korea University of Technology and Education,298.0
346,Tokyo Metropolitan College of Industrial Technology,298.0
347,Università degli Studi di Roma Tor Vergata,296.82
348,Oklahoma State University - Stillwater,296.65
349,Concordia University,296.56
350,Université de Versailles-Saint-Quentin-en-Yvelines,294.67
351,University of California Los Angeles,294.17
352,Østfold University College,294.0
353,Technische Universität Ilmenau,293.5
354,University of New Hampshire,293.19
355,University of Fukui,293.0
356,University of Huddersfield,292.58
357,Universidade de Lisboa - Instituto Superior Técnico,292.0
358,Central Michigan University,291.6
359,Università degli Studi della Tuscia,291.4
360,Case Western Reserve University,290.5
361,Central Piedmont Community College,290.5
362,Technological University Dublin,290.5
363,University of Delaware,290.5
364,University of Technology Sydney,289.91
365,University of North Florida,289.11
366,University of Evansville,288.23
367,Technical University of Liberec,288.0
368,Ecole Nationale d'Ingénieurs de Metz,287.75
369,California State University Fullerton,287.45
370,Washington University in St. Louis,287.2
371,Kinki University,287.19
372,Embry-Riddle Aeronautical University,285.2
373,Tennessee Technological University,285.15
374,Linköping University,285.0
375,Honda Technical College Kanto,284.58
376,University of Southampton,284.36
377,Heriot-Watt University,284.25
378,Honda Technical College Kansai,284.23
379,South Dakota State University,283.83
380,University of Liverpool,283.43
381,Ryerson University,283.15
382,Deakin University,282.82
383,SRM Institute of Science and Technology - Kattankulathur,282.8
384,University of Central Florida,280.65
385,Fachhochschule Hannover,280.44
386,University of Colorado at Boulder,280.06
387,University of Agder,280.0
388,Università degli Studi di Cagliari,278.75
389,Gifu University,278.14
390,K. J. Somaiya College of Engineering,278.08
391,Aichi Institute of Technology,277.78
392,Northern Illinois University,276.65
393,Gadjah Mada University,273.62
394,Kurume Institute of Technology,273.54
395,Sardar Patel College of Engineering Mumbai,272.33
396,Cégep du Vieux Montréal,271.88
397,Lancaster  University,269.41
398,De Montfort University,269.29
399,Cooper Union,269.23
400,Technische Universität Dresden,268.33
401,Escola Politécnica da Universidade de São Paulo,267.67
402,Carnegie Mellon University,266.18
403,Università degli Studi di Napoli Federico II,265.29
404,Northwestern University,265.15
405,University of Guelph,264.94
406,Universidade Federal do Rio Grande do Sul,264.83
407,TAMK University of Applied Sciences,262.86
408,University of Ontario Institute of Technology,262.14
409,University of South Australia,261.55
410,Daido Institute of Technology,261.0
411,University of Kentucky,260.83
412,Cedarville University,260.14
413,Santa Clara University,260.0
414,Università del Salento,257.9
415,Western Michigan University,257.53
416,Dalhousie University,257.0
417,Helmut Schmidt Universität  Universität der Bundeswehr Hamburg,257.0
418,Tokyo Metropolitan University,256.75
419,Oregon Institute of Technology,255.78
420,University of Saskatchewan,255.53
421,Lehigh University,255.48
422,United States Naval Academy,254.95
423,Vanderbilt University,254.73
424,John von Neumann University,254.6
425,Moscow Polytechnic University,253.0
426,Grand Valley State University,252.8
427,University of Colorado Denver,252.43
428,Montana State University - Bozeman,252.33
429,University of Hawaii at Manoa,251.86
430,Southern Illinois University Carbondale,250.55
431,University College Dublin,250.25
432,Shri G.S. Institute of Technology and Science Indore,250.0
433,Hiroshima University,249.62
434,Instituto Superior de Engenharia de Lisboa,249.0
435,Columbia University,248.88
436,University of Houston,248.25
437,University of Wisconsin-Platteville,247.79
438,University of Rijeka,247.3
439,FH Campus Wien,247.0
440,Silesian University of Technology,246.5
441,University of Hartford,246.0
442,King Mongkut's Institute of Technology Ladkrabang,245.14
443,Fachhochschule Aachen,245.09
444,Lakehead University,244.83
445,Niigata University,244.45
446,Bauman Moscow State Technical University,244.4
447,Penn State Harrisburg,244.25
448,Marathwada Mitra Mandal's College of Engineering,244.0
449,Delhi Technological University,243.9
450,University of Louisville,242.83
451,TECNUN - University of Navarra,242.4
452,Southern Methodist University,242.33
453,Mississippi State University,242.15
454,Wichita State University,240.92
455,Universidade Federal de São João del Rei,240.0
456,University of Portland,240.0
457,Saarland University,239.6
458,Union College,238.67
459,McMaster University,236.62
460,Technische Universität Kaiserslautern,236.22
461,Manipal Academy of Higher Education,236.17
462,University of California Irvine,235.75
463,University of Warwick,235.56
464,Escola Politècnica Superior d'Enginyeria de Manresa,235.2
465,Polytechnic Institute of Leiria,235.0
466,Aalborg University,230.92
467,University of Sussex,230.62
468,Old Dominion University,229.38
469,Hochschule Mannheim,229.1
470,Flinders University,229.0
471,Universidad Politécnica de Madrid (UPM),228.0
472,University of Maine,228.0
473,University of Puerto Rico,227.8
474,Colorado School of Mines,227.12
475,Texas Tech University,227.1
476,Hochschule Heilbronn,227.0
477,Otto-von-Guericke-Universität Magdeburg,226.85
478,Bradley University,226.55
479,WIZ International College of Information and Technology,226.0
480,University of California Davis,224.67
481,Sepuluh Nopember Institute of Technology,222.33
482,VIT University - Chennai,221.83
483,KLE Technological University,221.0
484,Hochschule Bonn-Rhein-Sieg,220.0
485,VIT University - Vellore,219.82
486,University of Wolverhampton,219.17
487,Florida Institute of Technology,218.42
488,Ruhr-Universität Bochum,218.39
489,Indian Institute of Technology Roorkee,218.0
490,Université du Québec à Chicoutimi,217.0
491,University of Manchester,215.64
492,R.V.College of Engineering,215.18
493,Portland State University,214.92
494,National Taipei University of Technology,213.67
495,Ain Shams University,213.5
496,York College of Pennsylvania,212.23
497,Arizona State University,212.09
498,Taylor's University,212.0
499,Manchester Metropolitan University,211.38
500,Nirma University,211.0
501,Universiti Teknologi MARA,211.0
502,United States Air Force Academy,210.79
