Rank,University,Lowest Place,#
1,University of Applied Sciences Ravensburg-Weingarten,1st,6
2,Universität Stuttgart,1st,6
3,Osaka University,1st,5
4,University of Bath,1st,5
5,Università degli Studi di Firenze,1st,5
6,Centro Universitário da FEI,1st,4
7,Centro Universitário Facens,1st,4
8,Fachhochschule Coburg,1st,4
9,Hochschule Esslingen,1st,4
10,Karlsruhe Institute of Technology,1st,4
11,Kettering University,1st,4
12,Rochester Institute of Technology,1st,4
13,University of Strathclyde,1st,4
14,University of Toronto,1st,4
15,Doshisha University,1st,3
16,Dwarkadas. J. Sanghvi College of Engineering,1st,3
17,Oxford Brookes University,1st,3
18,Tennessee Technological University,1st,3
19,The University of Michigan-Dearborn,1st,3
20,Tokyo Denki University,1st,3
21,University of Cincinnati,1st,3
22,University of New South Wales,1st,3
23,Concordia University,1st,2
24,Escola de Engenharia de São Carlos da Universidade de São Paulo,1st,2
25,Fachhochschule Joanneum Graz,1st,2
26,Fachhochschule Stralsund,1st,2
27,GFR DHBW Ravensburg & Oregon State University,1st,2
28,Hochschule Karlsruhe - Technik und Wirtschaft,1st,2
29,Kanagawa Institute of Technology,1st,2
30,Kennesaw State University,1st,2
31,Politecnico di Torino,1st,2
32,UAS Kempten,1st,2
33,Universidad Autónoma del Estado de México,1st,2
34,Universidad Simón Bolívar,1st,2
35,Universidade Estadual de Campinas,1st,2
36,University Carlos III of Madrid,1st,2
37,University of Alberta,1st,2
38,University of Birmingham,1st,2
39,University of Illinois at Urbana-Champaign,1st,2
40,University of Leeds,1st,2
41,University of Modena and Reggio Emilia,1st,2
42,University of Wisconsin-Madison,1st,2
43,Università di Pisa,1st,2
44,Ain Shams University,1st,1
45,Alma Mater Studiorum - Università di Bologna,1st,1
46,California State Polytechnic University Pomona,1st,1
47,Carleton University,1st,1
48,Clemson University,1st,1
49,Coventry University,1st,1
50,Czech Technical University in Prague,1st,1
51,Daido Institute of Technology,1st,1
52,Edith Cowan University,1st,1
53,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,1st,1
54,Fachhochschule Konstanz,1st,1
