Rank,University,Points
1,Universidad LaSalle,328.9
2,Universität Stuttgart,245.88
3,University of Wollongong,234.25
4,University of Western Australia,225.92
5,Yokohama National University,222.4
6,Monash University,209.77
7,Hochschule Esslingen,202.81
8,Nihon Automobile College,197.37
9,Griffith University,196.36
10,GFR DHBW Ravensburg & Oregon State University,195.65
11,Gujarat Technological University,195.0
12,Tallinn TU UAS,193.64
13,Cornell University,193.48
14,Technische Universität Graz,190.53
15,Nagoya University,184.95
16,Kyoto Institute of Technology,181.91
17,Beijing Institute of Technology,179.24
18,University of Canterbury,177.75
19,ETH Zürich,176.47
20,Dartmouth College,176.16
21,University of Queensland,174.65
22,Rochester Institute of Technology,174.64
23,Fachhochschule Coburg,170.12
24,Shibaura Institute of Technology,168.99
25,Texas A&M University,168.39
26,University of Michigan - Ann Arbor,166.35
27,Osaka University,165.99
28,Clemson University,165.24
29,Edith Cowan University,163.27
30,RMIT University,163.08
31,Santa Clara University,162.74
32,Centro Universitário da FEI,158.73
33,Utsunomiya University,157.49
34,University of Texas at Arlington,156.13
35,University of Tasmania,155.99
36,Tokyo City University,155.93
37,Czech Technical University in Prague,155.71
38,Helsinki Metropolia University of Applied Sciences,154.94
39,University of Melbourne,153.78
40,Chiba University,152.52
41,Universitat Politécnica de Valéncia,151.94
42,University of Sydney,150.76
43,Fachhochschule Joanneum Graz,150.44
44,Brno University of Technology,150.27
45,The University of Akron,149.32
46,Sophia University,148.66
47,Technische Hochschule Mittelhessen,146.28
48,University Of Hertfordshire,145.32
49,The University of Tokyo,143.68
50,Kokushikan University,143.26
51,Vishwakarma Institute of Technology,143.18
52,Centro Universitário Facens,143.07
53,Auburn University,142.81
54,Tongji University,142.63
55,Fachhochschule Kiel,142.33
56,Westsächsische Hochschule Zwickau,142.16
57,Hochschule für Angewandte Wissenschaften Hamburg,141.66
58,University of Florida,140.12
59,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),139.26
60,University of Washington,138.66
61,Missouri University of Science and Technology,138.64
62,University of Wisconsin-Madison,137.53
63,École de Technologie Superieure,136.61
64,Ibaraki University,136.26
65,Australian National University,135.84
66,Tokai University,135.59
67,Siam University,135.47
68,King Mongkut's University of Technology Thonburi,134.85
69,Czech University of Life Sciences Prague,134.78
70,Instituto Tecnológico de Buenos Aires,134.7
71,Université Laval,133.67
72,Curtin University,133.48
73,Wroclaw University of Technology,133.03
74,Universität Siegen,131.31
75,Chalmers University of Technology,131.02
76,Politecnico di Torino,130.43
77,Technical University of Munich,129.66
78,Toyohashi University of Technology,129.37
79,Nippon Institute of Technology,129.23
80,Nagoya Institute of Technology,128.99
81,Kanazawa University,128.62
82,California State Polytechnic University Pomona,127.93
83,Tokyo University of Science,127.27
84,Østfold University College,127.2
85,Ritsumeikan University,126.32
86,University of West Bohemia,126.11
87,Universität Kassel,126.11
88,University of Kansas,125.79
89,WIZ International College of Information and Technology,125.61
90,Alma Mater Studiorum - Università di Bologna,124.38
91,TU Delft,123.28
92,Queensland University of Technology,122.92
93,Kookmin University,122.69
94,University of Adelaide,122.51
95,Széchenyi István University,122.01
96,Technische Universität Braunschweig,120.81
97,Hubei University of Automotive Technology,120.08
98,University of Toledo,119.85
99,Kyoto University,119.63
100,Friedrich-Alexander-Universität Erlangen-Nürnberg,118.98
101,Georgia Institute of Technology,118.63
102,University of Missouri,118.04
103,Doshisha University,117.98
104,University of Toronto,117.78
105,Ben-Gurion University of the Negev,117.73
106,Michigan State University,117.68
107,Swinburne University of Technology,115.07
108,National University of Singapore,115.06
109,College of Science and Technology Nihon University,114.95
110,Western Washington University,114.45
111,Thai-Nichi Institute of Technology,114.36
112,University of Oklahoma,114.24
113,KTH Royal Institute of Technology,113.98
114,University of Applied Sciences Ravensburg-Weingarten,113.41
115,University of Auckland,113.32
116,Karlsruhe Institute of Technology,113.19
117,Saitama University,113.19
118,The Ohio State University,112.93
119,Politecnico di Milano,112.89
120,Technische Universität Bergakademie Freiberg,112.87
121,Technische Universität Darmstadt,112.35
122,Fachhochschule Stralsund,112.15
123,Korea University of Technology and Education,112.15
124,Staffordshire University,111.98
125,Hochschule Karlsruhe - Technik und Wirtschaft,111.89
126,Oregon State University,111.83
127,Shizuoka University,111.61
128,Dr. D. Y. Patil Institute Of Engineering and Technology,110.4
129,University of Bath,109.81
130,University of Illinois at Urbana-Champaign,109.58
131,Kingston University,109.45
132,Massachusetts Institute of Technology,109.01
133,Kanagawa Institute of Technology,108.9
134,École Polytechnique de Montréal,107.66
135,North Carolina State University,107.55
136,Università degli studi di Padova,107.19
137,University of Connecticut,107.15
138,University of Waikato,107.14
139,California State University Northridge,107.06
140,Technische Universität Berlin,106.61
141,Ostbayerische Technische Hochschule Regensburg,106.37
142,University of New South Wales,106.16
143,Shizuoka Institute of Science and Technology,105.97
