Rank,University,Points
1,University of Canterbury,135.3
2,École de Technologie Superieure,134.12
3,Edith Cowan University,133.22
4,Monash University,132.88
5,Universität Stuttgart,131.33
6,Santa Clara University,131.0
7,Fachhochschule Joanneum Graz,130.87
8,University of Auckland,130.55
9,RMIT University,130.48
10,TU Delft,129.09
11,Karlsruhe Institute of Technology,126.81
12,Technical University of Munich,125.21
13,Technische Universität Graz,124.78
14,Hochschule Esslingen,124.51
15,GFR DHBW Ravensburg & Oregon State University,123.17
16,Osaka University,121.19
17,University of Western Australia,120.24
18,Tallinn TU UAS,120.01
19,University of Wisconsin-Madison,119.86
20,Kyoto University,119.19
21,University of Wollongong,118.29
22,Swinburne University of Technology,118.05
23,Yokohama National University,117.38
24,Brno University of Technology,116.38
25,Rochester Institute of Technology,115.66
26,University of Washington,115.16
27,University of Texas at Arlington,115.03
28,Pimpri Chinchwad College Of Engineering,115.0
29,Cornell University,114.41
30,Oxford Brookes University,114.1
31,University Of Hertfordshire,113.62
32,University of Bath,113.29
33,Universitat Politécnica de Valéncia,113.21
34,Nagoya University,112.69
35,University of New South Wales,112.38
36,Sophia University,111.74
37,Helsinki Metropolia University of Applied Sciences,111.69
38,Czech Technical University in Prague,111.25
39,Università degli Studi di Firenze,111.01
40,Kyushu Sangyo University,110.0
41,Friedrich-Alexander-Universität Erlangen-Nürnberg,109.99
42,Ibaraki University,109.96
43,University of Melbourne,109.64
44,Griffith University,109.46
45,Westsächsische Hochschule Zwickau,109.09
46,ETH Zürich,108.5
47,Fachhochschule München,107.52
48,Michigan State University,107.28
49,Alma Mater Studiorum - Università di Bologna,107.14
50,Luleå University of Technology,106.6
51,Norwegian University of Science and Technology,106.5
52,Georgia Institute of Technology,106.21
53,Hochschule für Angewandte Wissenschaften Hamburg,106.0
54,University of New South Wales - Australian Defence Force Academy,105.86
55,Széchenyi István University,105.7
56,Technische Universität Wien,105.55
57,Curtin University,105.53
58,University of Tasmania,105.4
59,Wroclaw University of Technology,105.29
60,Università della Calabria,105.26
61,Texas A&M University,105.1
62,Gujarat Technological University,105.0
63,University of Messina,105.0
