Rank,University,Lowest Place,#
1,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,3rd,1
2,University of Seville,3rd,1
3,Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),6th,1
4,Escola d'Enginyeria de Barcelona Est. EEBE,8th,1
5,University of the Basque Country,8th,1
6,Universidad Pontificia Comillas,11th,1
7,TECNUN - University of Navarra,13th,1
8,Universidad de Castilla-La Mancha,N/A,0
9,Universidad de Oviedo,N/A,0
10,Universidad Politécnica de Cartagena,N/A,0
11,Universidad Politécnica de Madrid (UPM),N/A,0
12,University of Alcalá,N/A,0
