Rank,University,Points
1,Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),84.31
2,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,79.02
3,University of Seville,78.57
4,University of the Basque Country,74.75
5,Escola d'Enginyeria de Barcelona Est. EEBE,65.64
6,Universidad Politécnica de Madrid (UPM),55.99
7,TECNUN - University of Navarra,53.92
8,Universidad Pontificia Comillas,39.15
9,Universidad Politécnica de Cartagena,38.52
10,Universidad de Oviedo,35.9
11,Universidad de Castilla-La Mancha,21.0
12,University of Alcalá,5.0
