Rank,University,Lowest Place,#
1,Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),1st,1
2,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2nd,1
3,University of the Basque Country,3rd,1
4,University of Seville,4th,1
5,Escola d'Enginyeria de Barcelona Est. EEBE,5th,1
6,Vitoria-University of the Basque Country,6th,1
7,TECNUN - University of Navarra,7th,1
8,Universidad Pontificia Comillas,9th,1
9,Universidad Politécnica de Madrid (UPM),13th,1
10,Universidad de Oviedo,15th,1
11,Universidad Politécnica de Cartagena,24th,1
12,Universidad de Castilla-La Mancha,38th,1
13,University of La Laguna,38th,1
14,University of Alcalá,N/A,0
