Rank,University,Lowest Place,#
1,Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),1st,3
2,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,1st,3
3,University of the Basque Country,1st,1
4,Escola d'Enginyeria de Barcelona Est. EEBE,2nd,1
5,University of Seville,2nd,1
6,TECNUN - University of Navarra,4th,1
7,Universidad Pontificia Comillas,5th,1
8,Vitoria-University of the Basque Country,10th,1
9,Universidad Politécnica de Madrid (UPM),12th,1
10,Universidad Politécnica de Cartagena,13th,1
11,Universidad de Oviedo,14th,1
12,University of Alcalá,23rd,1
13,Universidad de Castilla-La Mancha,35th,1
14,University of La Laguna,38th,1
