Rank,University,Lowest Place,#
1,Tongji University,1st,1
2,Jilin University,2nd,1
3,Harbin Institute of Technology at Weihai,3rd,1
4,Hubei University of Automotive Technology,5th,1
5,Liaoning University of Technology,7th,1
6,Guangdong University of Technology,14th,1
7,Central South University - Changsha,22nd,1
8,Beijing Institute of Technology,26th,1
9,Guangxi Science and Technology University Lushan College,N/A,0
10,Hefei University of Technology,N/A,0
