Rank,University,Points
1,Tongji University,53.15
2,Beijing Institute of Technology,46.3
3,Central South University - Changsha,45.0
4,Guangdong University of Technology,45.0
5,Jilin University,41.4
6,Liaoning University of Technology,40.97
7,Harbin Institute of Technology at Weihai,35.38
8,Hubei University of Automotive Technology,34.94
9,Guangxi Science and Technology University Lushan College,29.21
10,Hefei University of Technology,19.4
