Rank,University,Lowest Place,#
1,McGill University,1st,3
2,École de Technologie Superieure,1st,1
3,Université Laval,2nd,1
4,Western University,2nd,1
5,École Polytechnique de Montréal,2nd,1
6,University of Toronto,6th,1
7,University of Manitoba,8th,1
8,University of Waterloo,8th,1
9,University of Ontario Institute of Technology,12th,1
10,University of British Columbia - Vancouver,19th,1
11,Concordia University,24th,1
12,Ryerson University,24th,1
13,McMaster University,32nd,1
14,Dalhousie University,35th,1
15,Toronto Metropolitan University,42nd,1
16,University of Victoria,48th,1
17,University of Windsor,59th,2
