Rank,University,Points
1,École Polytechnique de Montréal,3818
2,Université Laval,3418
3,École de Technologie Superieure,3258
4,McGill University,3031
5,University of Toronto,2095
6,Western University,1453
7,University of Manitoba,1092
8,Concordia University,849
9,University of British Columbia - Vancouver,766
10,University of Waterloo,545
11,McMaster University,498
12,University of Ontario Institute of Technology,407
13,Toronto Metropolitan University,384
14,University of Windsor,229
15,Ryerson University,212
16,Dalhousie University,168
17,University of Victoria,104
