Rank,University,Points
1,University of Toronto,38.85
2,École de Technologie Superieure,31.49
3,École Polytechnique de Montréal,30.74
4,McGill University,28.83
5,Université Laval,13.91
6,Concordia University,3.0
7,University of British Columbia - Vancouver,1.97
8,University of Manitoba,0.9
9,Western University,0.9
10,Dalhousie University,0.0
11,McMaster University,0.0
12,Ryerson University,0.0
13,Toronto Metropolitan University,0.0
14,University of Ontario Institute of Technology,0.0
15,University of Victoria,0.0
16,University of Waterloo,0.0
17,University of Windsor,0.0
