Rank,University,Lowest Place,#
1,École de Technologie Superieure,1st,2
2,École Polytechnique de Montréal,1st,1
3,Université Laval,2nd,1
4,McGill University,3rd,1
5,University of Manitoba,6th,2
6,University of Toronto,6th,1
7,Western University,10th,1
8,University of British Columbia - Vancouver,13th,1
9,Concordia University,14th,1
10,Dalhousie University,N/A,0
11,McMaster University,N/A,0
12,Ryerson University,N/A,0
13,Toronto Metropolitan University,N/A,0
14,University of Ontario Institute of Technology,N/A,0
15,University of Victoria,N/A,0
16,University of Waterloo,N/A,0
17,University of Windsor,N/A,0
