Rank,University,Lowest Place,#
1,University of Manitoba,1st,2
2,Ryerson University,1st,1
3,Toronto Metropolitan University,1st,1
4,McGill University,2nd,2
5,University of Toronto,4th,1
6,Western University,5th,1
7,University of Ontario Institute of Technology,9th,1
8,Université Laval,9th,1
9,Concordia University,10th,1
10,University of Waterloo,11th,1
11,École Polytechnique de Montréal,12th,2
12,McMaster University,12th,1
13,École de Technologie Superieure,14th,1
14,University of British Columbia - Vancouver,15th,1
15,University of Windsor,51st,1
16,Dalhousie University,52nd,1
17,University of Victoria,53rd,1
