Rank,University,Lowest Place,#
1,Monash University,1st,8
2,RMIT University,1st,6
3,University of Wollongong,1st,4
4,University of Western Australia,1st,2
5,Edith Cowan University,1st,1
6,Swinburne University of Technology,1st,1
7,University of Melbourne,1st,1
8,University of New South Wales,1st,1
9,University of Queensland,1st,1
10,Curtin University,2nd,1
11,Griffith University,2nd,1
12,University of Sydney,3rd,1
13,University of Adelaide,4th,1
14,Australian National University,5th,1
15,Queensland University of Technology,5th,1
16,University of New South Wales - Australian Defence Force Academy,5th,1
17,University of Tasmania,6th,2
18,Deakin University,6th,1
19,The University of Newcastle,7th,1
20,University of Technology Sydney,7th,1
21,University of South Australia,9th,1
22,Flinders University,10th,2
23,Victoria University Australia,11th,1
24,Western Sydney University,11th,1
25,James Cook University,15th,1
26,Federation University Australia,N/A,0
27,University of Southern Queensland,N/A,0
