Rank,University,Points
1,University of Wollongong,101.13
2,Monash University,97.04
3,University of Western Australia,92.29
4,Swinburne University of Technology,87.06
5,RMIT University,81.3
6,Edith Cowan University,71.61
7,Griffith University,65.3
8,University of New South Wales,64.44
9,Australian National University,61.59
10,University of Queensland,58.83
11,Curtin University,57.91
12,Queensland University of Technology,55.98
13,University of Melbourne,55.34
14,University of Sydney,50.68
15,University of Tasmania,43.92
16,University of Adelaide,37.83
17,The University of Newcastle,36.31
18,Deakin University,26.19
19,University of South Australia,24.06
20,University of New South Wales - Australian Defence Force Academy,21.34
21,University of Technology Sydney,18.83
22,Flinders University,7.78
23,University of Southern Queensland,4.5
24,Western Sydney University,3.25
25,Victoria University Australia,3.0
26,Federation University Australia,2.5
27,James Cook University,2.5
