Rank,University,Lowest Place,#
1,University of Queensland,1st,4
2,Edith Cowan University,1st,3
3,Monash University,1st,3
4,University of Western Australia,1st,3
5,Griffith University,1st,1
6,RMIT University,1st,1
7,University of Wollongong,1st,1
8,Curtin University,2nd,2
9,University of Melbourne,2nd,1
10,University of New South Wales,2nd,1
11,University of Tasmania,2nd,1
12,University of New South Wales - Australian Defence Force Academy,3rd,3
13,University of Adelaide,3rd,2
14,University of Sydney,3rd,1
15,Swinburne University of Technology,4th,2
16,University of Technology Sydney,4th,1
17,Australian National University,6th,1
18,Deakin University,6th,1
19,The University of Newcastle,6th,1
20,Queensland University of Technology,7th,1
21,Victoria University Australia,8th,1
22,Western Sydney University,9th,1
23,Flinders University,10th,1
24,University of South Australia,11th,1
25,University of Southern Queensland,15th,2
26,Federation University Australia,N/A,0
27,James Cook University,N/A,0
