Rank,University,Lowest Place,#
1,Monash University,1st,9
2,University of Western Australia,1st,5
3,University of Wollongong,1st,2
4,Edith Cowan University,1st,1
5,RMIT University,1st,1
6,University of Adelaide,1st,1
7,Curtin University,2nd,2
8,Swinburne University of Technology,2nd,2
9,Griffith University,3rd,1
10,University of Melbourne,3rd,1
11,University of Queensland,3rd,1
12,University of New South Wales,4th,2
13,University of New South Wales - Australian Defence Force Academy,4th,1
14,Deakin University,5th,1
15,University of Sydney,5th,1
16,The University of Newcastle,6th,1
17,Australian National University,7th,1
18,University of Technology Sydney,7th,1
19,Flinders University,8th,2
20,University of Tasmania,9th,1
21,University of South Australia,12th,2
22,Queensland University of Technology,13th,1
23,Western Sydney University,15th,1
24,Federation University Australia,17th,1
25,Victoria University Australia,17th,1
26,University of Southern Queensland,18th,2
27,James Cook University,22nd,1
