Rank,University,Lowest Place,#
1,University of New South Wales,1st,3
2,Edith Cowan University,1st,1
3,Griffith University,1st,1
4,Monash University,1st,1
5,RMIT University,1st,1
6,University of Queensland,1st,1
7,University of Wollongong,1st,1
8,University of Western Australia,2nd,2
9,University of Tasmania,3rd,1
10,University of Adelaide,4th,1
11,University of Sydney,4th,1
12,Flinders University,5th,2
13,Swinburne University of Technology,5th,1
14,University of Melbourne,5th,1
15,University of New South Wales - Australian Defence Force Academy,5th,1
16,Australian National University,6th,3
17,Queensland University of Technology,6th,1
18,Curtin University,7th,1
19,University of South Australia,7th,1
20,Deakin University,8th,1
21,The University of Newcastle,9th,1
22,Victoria University Australia,9th,1
23,University of Technology Sydney,10th,2
24,University of Southern Queensland,10th,1
25,Western Sydney University,16th,1
26,Federation University Australia,20th,1
27,James Cook University,28th,1
