Rank,University,Lowest Place,#
1,Monash University,1st,11
2,University of Wollongong,1st,2
3,University of Western Australia,1st,1
4,Edith Cowan University,2nd,3
5,Curtin University,2nd,1
6,RMIT University,2nd,1
7,Swinburne University of Technology,2nd,1
8,University of Adelaide,2nd,1
9,University of Melbourne,3rd,2
10,University of Sydney,3rd,1
11,University of Queensland,4th,2
12,Deakin University,4th,1
13,Griffith University,4th,1
14,University of New South Wales,4th,1
15,Queensland University of Technology,5th,2
16,The University of Newcastle,5th,1
17,University of South Australia,5th,1
18,University of New South Wales - Australian Defence Force Academy,6th,2
19,University of Tasmania,7th,2
20,Western Sydney University,8th,1
21,Australian National University,9th,1
22,University of Technology Sydney,10th,2
23,University of Southern Queensland,14th,1
24,Victoria University Australia,16th,1
25,Federation University Australia,N/A,0
26,Flinders University,N/A,0
27,James Cook University,N/A,0
