Rank,University,Points
1,Monash University,22548
2,RMIT University,15357
3,University of Wollongong,15274
4,University of Western Australia,13708
5,University of Queensland,9798
6,University of New South Wales,9721
7,University of Melbourne,9360
8,University of Sydney,8958
9,University of Adelaide,7462
10,Curtin University,7351
11,Edith Cowan University,7125
12,Swinburne University of Technology,5743
13,University of New South Wales - Australian Defence Force Academy,5567
14,The University of Newcastle,4806
15,Queensland University of Technology,3938
16,University of Technology Sydney,3189
17,Griffith University,3149
18,Deakin University,3111
19,University of South Australia,2877
20,Australian National University,2747
21,University of Tasmania,2587
22,Victoria University Australia,997
23,Flinders University,916
24,University of Southern Queensland,624
25,Federation University Australia,358
26,James Cook University,266
27,Western Sydney University,265
