Rank,University,Lowest Place,#
1,Monash University,1st,7
2,RMIT University,1st,4
3,Curtin University,1st,1
4,Edith Cowan University,1st,1
5,Swinburne University of Technology,1st,1
6,University of Adelaide,1st,1
7,University of Queensland,1st,1
8,University of Sydney,1st,1
9,University of Western Australia,1st,1
10,University of Wollongong,1st,1
11,University of Melbourne,2nd,1
12,University of New South Wales - Australian Defence Force Academy,2nd,1
13,Griffith University,3rd,1
14,University of New South Wales,3rd,1
15,University of Tasmania,4th,1
16,Australian National University,5th,1
17,Deakin University,5th,1
18,University of Technology Sydney,5th,1
19,Queensland University of Technology,6th,2
20,University of South Australia,7th,1
21,Victoria University Australia,9th,1
22,Flinders University,10th,1
23,Western Sydney University,10th,1
24,The University of Newcastle,11th,1
25,James Cook University,17th,1
26,University of Southern Queensland,17th,1
27,Federation University Australia,19th,1
