Rank,University,Lowest Place,#
1,Chiba University,1st,2
2,Kokushikan University,1st,2
3,Osaka University,1st,2
4,Ibaraki University,1st,1
5,Kanagawa Institute of Technology,1st,1
6,Kanazawa University,1st,1
7,Sophia University,1st,1
8,The University of Tokyo,1st,1
9,Tokai University,1st,1
10,Toyohashi University of Technology,1st,1
11,Yokohama National University,2nd,3
12,College of Science and Technology Nihon University,2nd,1
13,Nihon Automobile College,2nd,1
14,Osaka City University,2nd,1
15,Shizuoka University,2nd,1
16,Tokyo Metropolitan College of Industrial Technology,2nd,1
17,Utsunomiya University,3rd,2
18,Nagoya University,3rd,1
19,Kobe University,4th,2
20,Kanazawa Institute of Technology,4th,1
21,Osaka Sangyo University,4th,1
22,Ritsumeikan University,4th,1
23,Tokyo City University,4th,1
24,Tokyo University of Science,4th,1
25,Shibaura Institute of Technology,5th,1
26,Waseda University,5th,1
27,Gifu University,6th,1
28,Kyoto University,6th,1
29,Osaka Institute of Technology,6th,1
30,University of Yamanashi,7th,1
31,Nagoya Institute of Technology,8th,1
32,Sanyo-Onoda City University at Tokyo University of Science,8th,1
33,Tokyo Denki University,9th,1
34,Doshisha University,10th,1
35,Honda Technical College Kansai,10th,1
36,Kogakuin University,10th,1
37,Tokyo Institute of Technology,10th,1
38,Hiroshima University,11th,1
39,Okayama University,11th,1
40,Keio University,12th,1
41,Meijo University,12th,1
42,Kinki University,13th,1
43,Kyoto Institute of Technology,13th,1
44,Kyushu Institute of Technology,13th,1
45,Meisei University,13th,1
46,Hokkaido University,14th,1
47,Institute of Technologists,14th,1
48,Nippon Institute of Technology,15th,1
49,Faculty of Textile Science & Technology. Shinshu University,16th,1
50,Seikei University,17th,1
51,Shizuoka Institute of Science and Technology,17th,1
52,Tokyo University of Agriculture and Technology,18th,1
53,Saitama University,21st,1
54,University of Fukui,21st,1
55,Honda Technical College Kanto,22nd,1
56,Kurume Institute of Technology,22nd,1
57,Niigata University,22nd,1
58,Toyota Technical College Nagoya,22nd,1
59,Daido Institute of Technology,23rd,2
60,Tokyo Metropolitan University,23rd,1
61,Teikyo University,25th,1
62,Fukui University of Technology,26th,1
63,College of Industrial Technology Nihon University,29th,1
64,Osaka Prefecture University,30th,1
65,Chiba Institute of Technology,31st,1
66,Sojo University,35th,1
67,Shizuoka Professional College of Automobile Technology,36th,1
68,Hiroshima Institute of Technology,37th,2
69,Setsunan University,38th,1
70,Okayama University of Science,40th,1
71,Aichi Institute of Technology,42nd,1
72,Saitama Institute of Technology,43rd,1
73,Aso College of Automotive Engineering and Technology,46th,1
74,Hokkaido Automotive Engineering College,46th,1
75,Tottori University,48th,1
76,The University of Kitakyushu,51st,1
77,University of Toyama,51st,1
78,Akita Prefectural University,N/A,0
79,Aoyama Gakuin University,N/A,0
80,Gunma University,N/A,0
81,Kochi University of Technology,N/A,0
82,Kyushu Sangyo University,N/A,0
83,Kyushu University,N/A,0
84,Shonan Institute of Technology,N/A,0
85,Tokyo Tech Car College Setagaya,N/A,0
86,WIZ International College of Information and Technology,N/A,0
87,Yamagata University,N/A,0
