Rank,University,Lowest Place,#
1,Ain Shams University,17th,1
2,Arab Academy for Science Technology & Maritime Transport (AASTMT),28th,1
3,Mansoura University,36th,1
4,Cairo University,39th,1
5,Alexandria University,68th,1
6,Helwan University (‏جامعة حلوان),77th,1
