Business Presentation - Average Points,305th,(Универзитет у Београду),33.63,
Business Presentation - Best Result,285th,(Универзитет у Београду),21st,x1
Business Presentation - Total,287th,(Универзитет у Београду),67.26,
Cost - Average Points,282nd,(Универзитет у Београду),33.01,
Cost - Best Result,271st,(Универзитет у Београду),23rd,x1
Cost - Total,281st,(Универзитет у Београду),66.01,
Engineering Design - Average Points,321st,(Универзитет у Београду),25.0,
Engineering Design - Best Result,288th,(Универзитет у Београду),33rd,x1
Engineering Design - Total,306th,(Универзитет у Београду),50.0,
Points - Average Points,316th,(Универзитет у Београду),87.0,
Points - Total,298th,(Универзитет у Београду),174,
