Acceleration - Average Points,9th,59.46,
Acceleration - Best Result,1st,1st,x18
Acceleration - Total,1st,2972.89,
AutoX - Average Points,7th,82.71,
AutoX - Best Result,1st,1st,x12
AutoX - Total,1st,4135.64,
Business Presentation - Average Points,56th,62.58,
Business Presentation - Best Result,16th,1st,x2
Business Presentation - Total,1st,3129.16,
Cost - Average Points,33rd,81.47,
Cost - Best Result,1st,1st,x7
Cost - Total,1st,4073.29,
Endurance - Average Points,3rd,178.92,
Endurance - Best Result,1st,1st,x14
Endurance - Total,1st,8945.82,
Engineering Design - Average Points,1st,144.87,
Engineering Design - Best Result,1st,1st,x30
Engineering Design - Total,1st,7243.45,
Fuel - Average Points,13th,55.57,
Fuel - Best Result,1st,1st,x7
Fuel - Total,1st,2778.52,
Points - Average Points,3rd,721.06,
Points - Total,1st,36053,
Skidpad - Average Points,2nd,56.39,
Skidpad - Best Result,1st,1st,x14
Skidpad - Total,1st,2819.69,
