Acceleration - Average Points,47th,32.13,,
Acceleration - Best Result,89th,4th,1,
Acceleration - Total,97th,128.51,,
AutoX - Average Points,59th,42.5,,
AutoX - Best Result,70th,3rd,1,
AutoX - Total,98th,170.0,,
Business Presentation - Average Points,153rd,52.32,,
Business Presentation - Average Points,331st,- Australian Defence Force Academy,20.78,
Business Presentation - Best Result,101st,3rd,1,
Business Presentation - Best Result,266th,- Australian Defence Force Academy,17th,x1
Business Presentation - Total,176th,209.26,,
Business Presentation - Total,314th,- Australian Defence Force Academy,41.57,
Cost - Average Points,239th,44.41,,
Cost - Average Points,323rd,- Australian Defence Force Academy,7.8,
Cost - Best Result,138th,5th,1,
Cost - Best Result,243rd,- Australian Defence Force Academy,17th,x1
Cost - Total,196th,177.65,,
Cost - Total,323rd,- Australian Defence Force Academy,15.6,
Endurance - Average Points,58th,71.32,,
Endurance - Best Result,56th,2nd,1,
Endurance - Total,105th,285.3,,
Engineering Design - Average Points,32nd,112.02,,
Engineering Design - Average Points,317th,- Australian Defence Force Academy,28.5,
Engineering Design - Best Result,64th,3rd,1,
Engineering Design - Best Result,239th,- Australian Defence Force Academy,18th,x1
Engineering Design - Total,136th,448.09,,
Engineering Design - Total,300th,- Australian Defence Force Academy,57.0,
Fuel - Average Points,135th,13.7,,
Fuel - Best Result,163rd,10th,1,
Fuel - Total,158th,54.82,,
Points - Average Points,60th,395.25,,
Points - Average Points,329th,- Australian Defence Force Academy,57.0,
Points - Total,134th,1581,,
Points - Total,321st,- Australian Defence Force Academy,114,
Skidpad - Average Points,54th,26.99,,
Skidpad - Best Result,55th,2nd,1,
Skidpad - Total,97th,107.96,,
