Business Presentation - Average Points,122nd,54.07,
Business Presentation - Best Result,243rd,21st,x1
Business Presentation - Total,164th,162.2,
Cost - Average Points,270th,12.93,
Cost - Best Result,285th,81st,x1
Cost - Total,256th,38.8,
Engineering Design - Average Points,266th,30.0,
Engineering Design - Best Result,285th,75th,x1
Engineering Design - Total,218th,90.0,
Points - Average Points,260th,97.0,
Points - Total,211th,291,
