Business Presentation - Average Points,310th,32.25,,
Business Presentation - Average Points,335th,at Qatar,19.9,
Business Presentation - Best Result,303rd,32nd,1,
Business Presentation - Best Result,335th,at Qatar,58th,x1
Business Presentation - Total,291st,64.5,,
Business Presentation - Total,336th,at Qatar,19.9,
Cost - Average Points,258th,at Qatar,37.8,
Cost - Average Points,284th,32.45,,
Cost - Best Result,303rd,38th,1,
Cost - Best Result,320th,at Qatar,55th,x1
Cost - Total,283rd,64.9,,
Cost - Total,306th,at Qatar,37.8,
Engineering Design - Average Points,94th,at Qatar,90.0,
Engineering Design - Average Points,104th,87.5,,
Engineering Design - Best Result,215th,15th,1,
Engineering Design - Best Result,233rd,at Qatar,17th,x1
Engineering Design - Total,222nd,175.0,,
Engineering Design - Total,271st,at Qatar,90.0,
Points - Average Points,252nd,at Qatar,148.0,
Points - Average Points,273rd,130.0,,
Points - Total,278th,260,,
Points - Total,306th,at Qatar,148,
Skidpad - Average Points,172nd,3.25,,
Skidpad - Best Result,195th,32nd,1,
Skidpad - Total,186th,6.5,,
