Business Presentation - Average Points,72nd,60.6,
Business Presentation - Best Result,238th,22nd,x1
Business Presentation - Total,213th,60.6,
Cost - Average Points,157th,54.7,
Cost - Best Result,237th,28th,x1
Cost - Total,222nd,54.7,
Engineering Design - Average Points,85th,90.0,
Engineering Design - Best Result,165th,12th,x1
Engineering Design - Total,193rd,90.0,
Points - Average Points,137th,205.0,
Points - Total,206th,205,
