Rank,University,Points
1,Wroclaw University of Technology,1829.61
2,Białystok University of Technology,1087.23
3,AGH University of Science and Technology,817.79
4,Rzeszów University of Technology,663.35
5,Warsaw University of Technology,523.22
6,Poznan University of Technology,490.47
7,Silesian University of Technology,239.44
8,Gdańsk University of Technology,237.59
