Rank,University,Lowest Place,#
1,Białystok University of Technology,2nd,1
2,Rzeszów University of Technology,4th,2
3,Wroclaw University of Technology,6th,1
4,Silesian University of Technology,7th,2
5,Poznan University of Technology,7th,1
6,Gdańsk University of Technology,8th,1
7,Warsaw University of Technology,9th,1
8,AGH University of Science and Technology,10th,1
