Rank,University,Lowest Place,#
1,Białystok University of Technology,1st,1
2,AGH University of Science and Technology,2nd,1
3,Rzeszów University of Technology,2nd,1
4,Wroclaw University of Technology,2nd,1
5,Gdańsk University of Technology,5th,2
6,Warsaw University of Technology,5th,1
7,Poznan University of Technology,7th,3
8,Silesian University of Technology,9th,1
