Rank,University,Lowest Place,#
1,Nagoya University,1st,3
2,Shizuoka Institute of Science and Technology,2nd,1
3,The University of Tokyo,5th,1
4,Tohoku University,7th,1
5,Toyota Technical College Nagoya,9th,1
6,Iwate University,13th,1
7,Kanagawa University,15th,1
8,Kanagawa Institute of Technology,20th,1
9,Shizuoka University,24th,1
10,Toyohashi University of Technology,29th,1
11,Nissan Automobile Technical College Kyoto,37th,1
12,Niigata Institute of Technology,47th,1
13,Seikei University,52nd,1
14,Shizuoka Professional College of Automobile Technology,53rd,1
15,Tokyo University of Technology,61st,1
16,Daido Institute of Technology,64th,1
17,Kyushu Institute of Technology,80th,1
