Rank,University,Lowest Place,#
1,Nagoya University,9th,1
2,Tohoku University,17th,1
3,Kanagawa Institute of Technology,18th,1
4,The University of Tokyo,18th,1
5,Toyohashi University of Technology,26th,2
6,Iwate University,40th,1
7,Shizuoka Institute of Science and Technology,41st,1
8,Nissan Automobile Technical College Kyoto,48th,1
9,Shizuoka University,58th,1
10,Seikei University,61st,1
11,Shizuoka Professional College of Automobile Technology,61st,1
12,Kanagawa University,62nd,1
13,Toyota Technical College Nagoya,62nd,1
14,Niigata Institute of Technology,63rd,1
15,Daido Institute of Technology,64th,1
16,Tokyo University of Technology,64th,1
17,Kyushu Institute of Technology,76th,1
