Rank,University,Points
1,Nagoya University,495.28
2,Shizuoka Institute of Science and Technology,422.91
3,Tohoku University,270.98
4,Toyota Technical College Nagoya,238.75
5,Toyohashi University of Technology,168.02
6,Iwate University,145.89
7,The University of Tokyo,139.87
8,Niigata Institute of Technology,127.09
9,Shizuoka University,75.17
10,Nissan Automobile Technical College Kyoto,52.51
11,Kanagawa University,39.23
12,Daido Institute of Technology,7.5
13,Kanagawa Institute of Technology,0.0
14,Kyushu Institute of Technology,0.0
15,Seikei University,0.0
16,Shizuoka Professional College of Automobile Technology,0.0
17,Tokyo University of Technology,0.0
