Rank,University,Lowest Place,#
1,Nagoya University,1st,1
2,Shizuoka University,14th,1
3,Toyohashi University of Technology,15th,1
4,Kanagawa Institute of Technology,21st,1
5,Iwate University,24th,1
6,The University of Tokyo,28th,1
7,Shizuoka Institute of Science and Technology,30th,1
8,Tohoku University,37th,1
9,Shizuoka Professional College of Automobile Technology,42nd,1
10,Toyota Technical College Nagoya,46th,1
11,Seikei University,55th,1
12,Daido Institute of Technology,56th,1
13,Nissan Automobile Technical College Kyoto,61st,1
14,Tokyo University of Technology,62nd,1
15,Niigata Institute of Technology,68th,1
16,Kanagawa University,73rd,1
17,Kyushu Institute of Technology,81st,1
