Rank,University,Points
1,Nagoya University,3516
2,Tohoku University,1469
3,Shizuoka Institute of Science and Technology,1404
4,Toyota Technical College Nagoya,1317
5,Iwate University,1099
6,Toyohashi University of Technology,1066
7,The University of Tokyo,872
8,Shizuoka University,469
9,Kanagawa University,327
10,Niigata Institute of Technology,316
11,Kanagawa Institute of Technology,283
12,Nissan Automobile Technical College Kyoto,215
13,Seikei University,94
14,Daido Institute of Technology,75
15,Shizuoka Professional College of Automobile Technology,43
16,Kyushu Institute of Technology,8
17,Tokyo University of Technology,5
