Rank,University,Points
1,Nagoya University,68.56
2,The University of Tokyo,63.54
3,Shizuoka University,52.04
4,Shizuoka Institute of Science and Technology,47.89
5,Iwate University,44.8
6,Toyohashi University of Technology,43.56
7,Kanagawa University,41.77
8,Tohoku University,40.64
9,Seikei University,38.28
10,Toyota Technical College Nagoya,35.5
11,Shizuoka Professional College of Automobile Technology,35.05
12,Niigata Institute of Technology,24.87
13,Nissan Automobile Technical College Kyoto,23.08
14,Kanagawa Institute of Technology,20.72
15,Tokyo University of Technology,20.49
16,Daido Institute of Technology,18.75
17,Kyushu Institute of Technology,1.25
