Acceleration - Average Points,101st,47.3,,
Acceleration - Average Points,176th,- Australian Defence Force Academy,39.56,
Acceleration - Best Result,132nd,2nd,1,
Acceleration - Best Result,142nd,- Australian Defence Force Academy,3rd,x3
Acceleration - Total,89th,945.98,,
Acceleration - Total,200th,- Australian Defence Force Academy,553.8,
AutoX - Average Points,128th,64.44,,
AutoX - Average Points,463rd,- Australian Defence Force Academy,21.34,
AutoX - Best Result,149th,2nd,1,
AutoX - Best Result,295th,- Australian Defence Force Academy,7th,x1
AutoX - Total,115th,1288.87,,
AutoX - Total,348th,- Australian Defence Force Academy,298.8,
Business Presentation - Average Points,191st,- Australian Defence Force Academy,52.97,
Business Presentation - Average Points,240th,51.02,,
Business Presentation - Best Result,163rd,- Australian Defence Force Academy,2nd,x1
Business Presentation - Best Result,212th,3rd,1,
Business Presentation - Total,131st,1020.35,,
Business Presentation - Total,222nd,- Australian Defence Force Academy,741.58,
Cost - Average Points,106th,69.2,,
Cost - Average Points,217th,- Australian Defence Force Academy,64.42,
Cost - Best Result,23rd,1st,3,
Cost - Best Result,296th,- Australian Defence Force Academy,5th,x1
Cost - Total,110th,1383.94,,
Cost - Total,220th,- Australian Defence Force Academy,901.87,
Endurance - Average Points,141st,106.16,,
Endurance - Average Points,225th,- Australian Defence Force Academy,78.65,
Endurance - Best Result,67th,1st,1,
Endurance - Best Result,233rd,- Australian Defence Force Academy,5th,x1
Endurance - Total,112th,2123.28,,
Endurance - Total,195th,- Australian Defence Force Academy,1101.1,
Engineering Design - Average Points,35th,112.38,,
Engineering Design - Average Points,58th,- Australian Defence Force Academy,105.86,
Engineering Design - Best Result,146th,4th,2,
Engineering Design - Best Result,182nd,- Australian Defence Force Academy,4th,x1
Engineering Design - Total,86th,2247.5,,
Engineering Design - Total,171st,- Australian Defence Force Academy,1482.0,
Fuel - Average Points,274th,- Australian Defence Force Academy,14.63,
Fuel - Average Points,344th,11.07,,
Fuel - Best Result,88th,2nd,2,
Fuel - Best Result,118th,- Australian Defence Force Academy,2nd,x1
Fuel - Total,229th,221.4,,
Fuel - Total,238th,- Australian Defence Force Academy,204.8,
Points - Average Points,103rd,486.05,,
Points - Average Points,190th,- Australian Defence Force Academy,397.64,
Points - Total,105th,9721,,
Points - Total,220th,- Australian Defence Force Academy,5567,
Skidpad - Average Points,166th,24.52,,
Skidpad - Average Points,220th,- Australian Defence Force Academy,20.21,
Skidpad - Best Result,190th,4th,1,
Skidpad - Best Result,226th,- Australian Defence Force Academy,6th,x2
Skidpad - Total,118th,490.49,,
Skidpad - Total,212th,- Australian Defence Force Academy,283.0,
