Acceleration - Average Points,431st,19.97,,
Acceleration - Average Points,599th,of Science,5.22,
Acceleration - Best Result,367th,11th,1,
Acceleration - Best Result,609th,of Science,40th,x1
Acceleration - Total,304th,299.56,,
Acceleration - Total,565th,of Science,41.76,
AutoX - Average Points,255th,47.46,,
AutoX - Average Points,324th,of Science,37.26,
AutoX - Best Result,67th,of Science,1st,x1
AutoX - Best Result,68th,1st,1,
AutoX - Total,213th,711.96,,
AutoX - Total,343rd,of Science,298.1,
Business Presentation - Average Points,341st,47.01,,
Business Presentation - Average Points,750th,of Science,28.0,
Business Presentation - Best Result,284th,6th,2,
Business Presentation - Best Result,431st,of Science,11th,x1
Business Presentation - Total,225th,705.17,,
Business Presentation - Total,504th,of Science,224.01,
Cost - Average Points,628th,39.17,,
Cost - Average Points,856th,of Science,-8.24,
Cost - Best Result,448th,11th,1,
Cost - Best Result,810th,of Science,58th,x2
Cost - Total,337th,587.57,,
Cost - Total,862nd,of Science,-65.93,
Endurance - Average Points,320th,of Science,49.55,
Endurance - Average Points,326th,48.46,,
Endurance - Best Result,207th,of Science,5th,x1
Endurance - Best Result,464th,16th,1,
Endurance - Total,265th,726.88,,
Endurance - Total,345th,of Science,396.42,
Engineering Design - Average Points,195th,86.59,,
Engineering Design - Average Points,743rd,of Science,36.25,
Engineering Design - Best Result,253rd,7th,1,
Engineering Design - Best Result,602nd,of Science,24th,x1
Engineering Design - Total,197th,1298.91,,
Engineering Design - Total,518th,of Science,290.0,
Fuel - Average Points,111th,of Science,25.72,
Fuel - Average Points,161st,21.97,,
Fuel - Best Result,210th,5th,1,
Fuel - Best Result,291st,of Science,8th,x2
Fuel - Total,150th,329.58,,
Fuel - Total,231st,of Science,205.8,
Points - Average Points,305th,322.27,,
Points - Average Points,564th,of Science,180.5,
Points - Total,242nd,4834,,
Points - Total,469th,of Science,1444,
Skidpad - Average Points,350th,12.3,,
Skidpad - Average Points,428th,of Science,9.33,
Skidpad - Best Result,393rd,14th,1,
Skidpad - Best Result,557th,of Science,30th,x1
Skidpad - Total,265th,184.48,,
Skidpad - Total,409th,of Science,74.66,
