Acceleration - Average Points,618th,4.72,,
Acceleration - Best Result,327th,8th,1,
Acceleration - Total,601st,33.06,,
AutoX - Average Points,587th,8.65,,
AutoX - Best Result,348th,9th,1,
AutoX - Total,565th,60.57,,
Business Presentation - Average Points,747th,29.88,,
Business Presentation - Average Points,773rd,- Joinville,27.84,
Business Presentation - Best Result,299th,5th,1,
Business Presentation - Best Result,440th,- Joinville,10th,x1
Business Presentation - Total,542nd,209.15,,
Business Presentation - Total,609th,- Joinville,139.21,
Cost - Average Points,455th,52.64,,
Cost - Average Points,655th,- Joinville,37.84,
Cost - Best Result,340th,6th,1,
Cost - Best Result,391st,- Joinville,8th,x2
Cost - Total,448th,368.51,,
Cost - Total,579th,- Joinville,189.19,
Endurance - Average Points,629th,2.57,,
Endurance - Average Points,656th,- Joinville,0.8,
Endurance - Best Result,315th,7th,1,
Endurance - Best Result,487th,- Joinville,16th,x1
Endurance - Total,612th,18.0,,
Endurance - Total,652nd,- Joinville,4.0,
Engineering Design - Average Points,779th,32.57,,
Engineering Design - Average Points,791st,- Joinville,30.02,
Engineering Design - Best Result,397th,- Joinville,11th,x1
Engineering Design - Best Result,446th,13th,1,
Engineering Design - Total,585th,227.97,,
Engineering Design - Total,645th,- Joinville,150.11,
Points - Average Points,701st,130.57,,
Points - Average Points,791st,- Joinville,92.4,
Points - Total,563rd,914,,
Points - Total,660th,- Joinville,462,
Skidpad - Average Points,633rd,0.86,,
Skidpad - Best Result,349th,10th,1,
Skidpad - Total,617th,6.05,,
