Acceleration - Average Points,54th,52.58,
Acceleration - Best Result,148th,3rd,x2
Acceleration - Total,38th,1577.41,
AutoX - Average Points,3rd,118.33,
AutoX - Best Result,11th,1st,x6
AutoX - Total,16th,3549.89,
Business Presentation - Average Points,79th,58.02,
Business Presentation - Best Result,104th,1st,x1
Business Presentation - Total,47th,1740.45,
Cost - Average Points,314th,59.37,
Cost - Best Result,216th,3rd,x1
Cost - Total,69th,1781.21,
Endurance - Average Points,31st,160.09,
Endurance - Best Result,20th,1st,x3
Endurance - Total,23rd,4802.67,
Engineering Design - Average Points,33rd,113.2,
Engineering Design - Best Result,16th,1st,x4
Engineering Design - Total,34th,3396.0,
Fuel - Average Points,112th,26.11,
Fuel - Best Result,121st,2nd,x1
Fuel - Total,36th,783.35,
Points - Average Points,11th,651.2,
Points - Total,24th,19536,
Skidpad - Average Points,36th,37.15,
Skidpad - Best Result,79th,1st,x1
Skidpad - Total,29th,1114.61,
