Acceleration - Average Points,40th,54.97,
Acceleration - Best Result,76th,1st,x1
Acceleration - Total,38th,1594.04,
AutoX - Average Points,113th,69.48,
AutoX - Best Result,14th,1st,x5
AutoX - Total,56th,2014.99,
Business Presentation - Average Points,64th,58.9,
Business Presentation - Best Result,36th,1st,x2
Business Presentation - Total,53rd,1708.09,
Cost - Average Points,71st,71.81,
Cost - Best Result,100th,1st,x1
Cost - Total,49th,2082.56,
Endurance - Average Points,61st,136.7,
Endurance - Best Result,33rd,1st,x2
Endurance - Total,43rd,3964.4,
Engineering Design - Average Points,30th,114.46,
Engineering Design - Best Result,11th,1st,x6
Engineering Design - Total,41st,3319.3,
Fuel - Average Points,112th,25.74,
Fuel - Best Result,118th,2nd,x1
Fuel - Total,42nd,746.54,
Points - Average Points,37th,583.17,
Points - Total,41st,16912,
Skidpad - Average Points,4th,53.17,
Skidpad - Best Result,15th,1st,x4
Skidpad - Total,17th,1541.97,
