Acceleration - Average Points,266th,Sanyo-Onoda City University at,32.22,
Acceleration - Average Points,346th,26.41,,
Acceleration - Best Result,216th,4th,1,
Acceleration - Best Result,320th,Sanyo-Onoda City University at,8th,x1
Acceleration - Total,247th,449.05,,
Acceleration - Total,299th,Sanyo-Onoda City University at,322.21,
AutoX - Average Points,160th,Sanyo-Onoda City University at,59.32,
AutoX - Average Points,240th,49.39,,
AutoX - Best Result,80th,Sanyo-Onoda City University at,1st,x1
AutoX - Best Result,96th,1st,1,
AutoX - Total,191st,839.7,,
AutoX - Total,251st,Sanyo-Onoda City University at,593.24,
Business Presentation - Average Points,600th,37.7,,
Business Presentation - Average Points,674th,Sanyo-Onoda City University at,34.38,
Business Presentation - Best Result,334th,6th,1,
Business Presentation - Best Result,434th,Sanyo-Onoda City University at,10th,x1
Business Presentation - Total,281st,640.91,,
Business Presentation - Total,425th,Sanyo-Onoda City University at,343.81,
Cost - Average Points,610th,41.94,,
Cost - Average Points,704th,Sanyo-Onoda City University at,32.18,
Cost - Best Result,301st,5th,1,
Cost - Best Result,405th,Sanyo-Onoda City University at,8th,x1
Cost - Total,297th,712.94,,
Cost - Total,474th,Sanyo-Onoda City University at,321.84,
Endurance - Average Points,128th,112.29,,
Endurance - Average Points,175th,Sanyo-Onoda City University at,93.37,
Endurance - Best Result,367th,10th,2,
Endurance - Best Result,379th,Sanyo-Onoda City University at,10th,x1
Endurance - Total,137th,1909.01,,
Endurance - Total,237th,Sanyo-Onoda City University at,933.72,
Engineering Design - Average Points,215th,84.15,,
Engineering Design - Average Points,540th,Sanyo-Onoda City University at,58.0,
Engineering Design - Best Result,249th,6th,1,
Engineering Design - Best Result,628th,Sanyo-Onoda City University at,24th,x1
Engineering Design - Total,196th,1430.5,,
Engineering Design - Total,406th,Sanyo-Onoda City University at,580.0,
Fuel - Average Points,83rd,28.28,,
Fuel - Average Points,285th,Sanyo-Onoda City University at,14.49,
Fuel - Best Result,364th,Sanyo-Onoda City University at,11th,x1
Fuel - Best Result,372nd,12th,2,
Fuel - Total,97th,480.75,,
Fuel - Total,308th,Sanyo-Onoda City University at,144.93,
Points - Average Points,209th,387.06,,
Points - Average Points,277th,Sanyo-Onoda City University at,336.8,
Points - Total,189th,6580,,
Points - Total,329th,Sanyo-Onoda City University at,3368,
Skidpad - Average Points,332nd,Sanyo-Onoda City University at,13.88,
Skidpad - Average Points,423rd,10.24,,
Skidpad - Best Result,463rd,17th,2,
Skidpad - Best Result,538th,Sanyo-Onoda City University at,24th,x1
Skidpad - Total,297th,174.13,,
Skidpad - Total,341st,Sanyo-Onoda City University at,138.79,
