Acceleration - Average Points,88th,49.24,
Acceleration - Best Result,82nd,1st,x1
Acceleration - Total,16th,1969.51,
AutoX - Average Points,23rd,97.77,
AutoX - Best Result,13th,1st,x5
AutoX - Total,10th,3910.63,
Business Presentation - Average Points,79th,57.89,
Business Presentation - Best Result,37th,1st,x2
Business Presentation - Total,18th,2315.43,
Cost - Average Points,93rd,69.83,
Cost - Best Result,170th,2nd,x1
Cost - Total,15th,2793.32,
Endurance - Average Points,63rd,136.61,
Endurance - Best Result,20th,1st,x3
Endurance - Total,15th,5464.51,
Engineering Design - Average Points,2nd,134.12,
Engineering Design - Best Result,2nd,1st,x14
Engineering Design - Total,8th,5365.0,
Fuel - Average Points,70th,31.72,
Fuel - Best Result,4th,1st,x4
Fuel - Total,12th,1268.79,
Points - Average Points,20th,618.6,
Points - Total,14th,24744,
Skidpad - Average Points,16th,41.95,
Skidpad - Best Result,7th,1st,x7
Skidpad - Total,11th,1678.01,
