Acceleration - Average Points,230th,Belfast,34.92,
Acceleration - Average Points,318th,28.06,,
Acceleration - Best Result,59th,Belfast,1st,x1
Acceleration - Best Result,377th,11th,2,
Acceleration - Total,96th,897.81,,
Acceleration - Total,210th,Belfast,523.79,
AutoX - Average Points,207th,Belfast,53.12,
AutoX - Average Points,307th,39.81,,
AutoX - Best Result,281st,Belfast,7th,x1
AutoX - Best Result,403rd,12th,1,
AutoX - Total,117th,1274.04,,
AutoX - Total,198th,Belfast,796.77,
Business Presentation - Average Points,163rd,53.93,,
Business Presentation - Average Points,266th,Belfast,50.23,
Business Presentation - Best Result,75th,Belfast,1st,x1
Business Presentation - Best Result,151st,2nd,1,
Business Presentation - Total,49th,1725.63,,
Business Presentation - Total,213th,Belfast,753.42,
Cost - Average Points,330th,58.93,,
Cost - Average Points,331st,Belfast,58.89,
Cost - Best Result,462nd,Belfast,11th,x1
Cost - Best Result,483rd,12th,1,
Cost - Total,60th,1885.82,,
Cost - Total,229th,Belfast,883.41,
Endurance - Average Points,191st,Belfast,86.66,
Endurance - Average Points,420th,32.99,,
Endurance - Best Result,262nd,Belfast,6th,x1
Endurance - Best Result,383rd,11th,1,
Endurance - Total,174th,Belfast,1299.84,
Endurance - Total,204th,1055.72,,
Engineering Design - Average Points,165th,Belfast,89.6,
Engineering Design - Average Points,211th,84.32,,
Engineering Design - Best Result,88th,Belfast,2nd,x1
Engineering Design - Best Result,165th,4th,1,
Engineering Design - Total,66th,2698.33,,
Engineering Design - Total,201st,Belfast,1344.0,
Fuel - Average Points,242nd,Belfast,17.02,
Fuel - Average Points,480th,3.15,,
Fuel - Best Result,103rd,Belfast,2nd,x1
Fuel - Best Result,473rd,24th,1,
Fuel - Total,207th,Belfast,255.27,
Fuel - Total,348th,100.86,,
Points - Average Points,180th,Belfast,406.13,
Points - Average Points,323rd,312.38,,
Points - Total,101st,9996,,
Points - Total,195th,Belfast,6092,
Skidpad - Average Points,278th,Belfast,16.24,
Skidpad - Average Points,360th,12.15,,
Skidpad - Best Result,113th,Belfast,2nd,x1
Skidpad - Best Result,375th,12th,1,
Skidpad - Total,160th,388.93,,
Skidpad - Total,233rd,Belfast,243.67,
