Acceleration - Average Points,79th,49.87,
Acceleration - Best Result,1st,1st,x12
Acceleration - Total,23rd,1745.3,
AutoX - Average Points,138th,62.45,
AutoX - Best Result,107th,2nd,x6
AutoX - Total,49th,2185.92,
Business Presentation - Average Points,386th,45.28,
Business Presentation - Best Result,251st,4th,x1
Business Presentation - Total,64th,1584.88,
Cost - Average Points,64th,72.76,
Cost - Best Result,43rd,1st,x2
Cost - Total,23rd,2546.73,
Endurance - Average Points,146th,104.07,
Endurance - Best Result,35th,1st,x2
Endurance - Total,48th,3642.49,
Engineering Design - Average Points,83rd,102.5,
Engineering Design - Best Result,69th,2nd,x3
Engineering Design - Total,29th,3587.46,
Fuel - Average Points,223rd,18.08,
Fuel - Best Result,158th,3rd,x1
Fuel - Total,61st,632.77,
Points - Average Points,108th,480.17,
Points - Total,39th,16806,
Skidpad - Average Points,86th,31.33,
Skidpad - Best Result,88th,2nd,x4
Skidpad - Total,33rd,1096.48,
