Acceleration - Average Points,88th,49.24,
Acceleration - Best Result,148th,3rd,x2
Acceleration - Total,23rd,1871.2,
AutoX - Average Points,104th,70.63,
AutoX - Best Result,53rd,1st,x1
AutoX - Total,30th,2684.11,
Business Presentation - Average Points,159th,54.29,
Business Presentation - Best Result,31st,1st,x2
Business Presentation - Total,28th,2062.94,
Cost - Average Points,76th,71.35,
Cost - Best Result,11th,1st,x4
Cost - Total,22nd,2711.19,
Endurance - Average Points,100th,118.19,
Endurance - Best Result,11th,1st,x5
Endurance - Total,31st,4491.25,
Engineering Design - Average Points,98th,101.11,
Engineering Design - Best Result,28th,1st,x2
Engineering Design - Total,27th,3842.1,
Fuel - Average Points,78th,28.61,
Fuel - Best Result,3rd,1st,x5
Fuel - Total,22nd,1087.28,
Points - Average Points,60th,538.11,
Points - Total,24th,20448,
Skidpad - Average Points,12th,45.16,
Skidpad - Best Result,17th,1st,x3
Skidpad - Total,12th,1716.14,
